 Date Time CO NO2 CHX NO PM10
 18.09.12 00:00 0.42 0.21 2.02 0.92 0.40
 -------- 01:00 0.41 0.21 2.31 0.98 0.37
 -------- 02:00 0.35 0.17 2.96 0.80 0.32
 -------- 03:00 0.36 0.14 3.29 0.82 0.33
 -------- 04:00 0.34 0.14 3.57 0.86 0.38
 18.09.12 05:00 0.37 0.14 3.56 0.93 0.39
 -------- 06:00 0.37 0.18 3.83 1.00 0.37
 -------- 07:00 0.41 0.21 3.72 1.16 0.39
 -------- 08:00 0.50 0.27 3.36 1.44 0.57
 -------- 09:00 0.54 0.35 3.14 1.41 0.48
 18.09.12 10:00 0.38 0.44 2.32 0.97 0.29
 -------- 11:00 0.27 0.47 1.97 0.64 0.21
 -------- 12:00 0.14 0.48 1.85 0.30 0.17
 -------- 13:00 0.06 0.27 1.58 0.09 0.11
 -------- 14:00 ---- 0.15 1.39 0.02 0.03
 18.09.12 15:00 ---- 0.18 1.39 0.01 0.05
 -------- 16:00 0.04 0.21 1.40 0.01 0.05
 -------- 17:00 0.07 0.28 1.42 0.02 0.06
 -------- 18:00 0.09 0.34 1.48 0.03 0.06
 -------- 19:00 0.12 0.37 1.51 0.10 0.08
 18.09.12 20:00 0.33 0.35 1.85 0.53 0.34
 -------- 21:00 0.42 0.36 2.14 0.78 0.44
 -------- 22:00 0.40 0.32 2.20 0.74 0.45
 -------- 23:00 0.29 0.34 2.10 0.52 0.32
 -------- 00:00 0.19 0.34 2.04 0.36 0.21
 19.09.12 01:00 0.27 0.26 2.25 0.67 0.36
 -------- 02:00 0.25 0.21 2.13 0.69 0.29
 -------- 03:00 0.17 0.22 1.92 0.34 0.25
 -------- 04:00 0.15 0.18 1.94 0.34 0.28
 -------- 05:00 0.11 0.17 2.11 0.23 0.24
 19.09.12 06:00 0.12 0.19 2.23 0.25 0.25
 -------- 07:00 0.22 0.34 2.39 0.50 0.41
 -------- 08:00 0.21 0.29 2.34 0.49 0.46
 -------- 09:00 0.17 0.33 1.81 0.28 0.21
 -------- 10:00 0.12 0.33 1.61 0.17 0.18
 19.09.12 11:00 0.08 0.28 1.52 0.09 0.13
 -------- 12:00 0.06 0.17 1.42 0.03 0.09
 -------- 13:00 0.04 0.10 1.38 0.01 0.07
 -------- 14:00 0.05 0.09 1.37 0.01 0.06
 -------- 15:00 0.05 0.08 1.38 0.00 0.09
 19.09.12 16:00 0.05 0.10 1.38 0.00 0.08
 -------- 17:00 0.06 0.12 1.41 0.00 0.09
 -------- 18:00 0.07 0.21 1.50 0.00 0.12
 -------- 19:00 0.09 0.31 1.55 0.01 0.16
 -------- 20:00 0.16 0.44 1.67 0.08 0.19
 19.09.12 21:00 0.20 0.47 1.72 0.16 0.19
 -------- 22:00 0.16 0.47 1.65 0.14 0.19
 -------- 23:00 0.12 0.45 1.59 0.07 0.16
