 Date Time CO H2S NO2 CHX NO
 18.09.12 00:00 1.86 1.44 0.41 4.52 2.15
 -------- 01:00 1.40 1.04 0.44 4.43 2.35
 -------- 02:00 1.51 0.67 0.39 4.16 1.97
 -------- 03:00 0.75 0.33 0.27 2.97 1.01
 -------- 04:00 0.34 0.33 0.21 2.24 0.46
 18.09.12 05:00 0.25 0.21 0.20 2.14 0.32
 -------- 06:00 0.28 0.33 0.21 3.01 0.41
 -------- 07:00 0.34 0.29 0.23 2.98 0.49
 -------- 08:00 0.35 0.29 0.23 2.73 0.49
 -------- 09:00 0.43 0.25 0.27 2.52 0.67
 18.09.12 10:00 0.41 0.21 0.28 2.49 0.59
 -------- 11:00 0.32 0.38 0.30 2.26 0.41
 -------- 12:00 0.28 0.25 0.27 2.33 0.38
 -------- 13:00 0.13 0.12 0.19 1.94 0.16
 -------- 14:00 0.09 ---- 0.19 1.88 0.11
 18.09.12 15:00 0.09 0.12 0.22 6.40 0.10
 -------- 16:00 0.13 0.12 0.24 3.60 0.14
 -------- 17:00 0.14 0.25 0.23 2.08 0.13
 -------- 18:00 0.17 0.21 0.23 1.87 0.13
 -------- 19:00 0.19 0.17 0.24 2.04 0.16
 18.09.12 20:00 0.33 0.17 0.25 2.53 0.27
 -------- 21:00 0.39 0.21 0.26 2.78 0.35
 -------- 22:00 0.40 0.54 0.26 2.57 0.42
 -------- 23:00 0.31 0.12 0.24 2.55 0.30
 -------- 00:00 0.35 0.12 0.24 2.71 0.34
 19.09.12 01:00 0.65 0.38 0.25 3.48 0.76
 -------- 02:00 0.86 0.75 0.29 2.99 1.15
 -------- 03:00 0.54 0.33 0.24 2.62 0.74
 -------- 04:00 0.40 0.19 0.22 2.57 0.55
 -------- 05:00 0.41 0.17 0.20 2.62 0.59
 19.09.12 06:00 0.27 0.17 0.20 2.35 0.31
 -------- 07:00 0.13 0.17 0.18 1.96 0.10
 -------- 08:00 0.17 0.12 0.17 2.31 0.10
 -------- 09:00 0.31 0.25 0.23 2.45 0.29
 -------- 10:00 0.21 0.21 0.22 2.30 0.17
 19.09.12 11:00 0.18 0.25 0.21 2.11 0.14
 -------- 12:00 0.14 0.12 0.18 2.04 0.09
 -------- 13:00 0.13 ---- 0.18 1.86 0.07
 -------- 14:00 0.12 ---- 0.16 1.91 0.04
 -------- 15:00 0.12 0.12 0.17 1.80 0.05
 19.09.12 16:00 0.12 0.12 0.19 5.64 0.04
 -------- 17:00 0.15 0.19 0.25 8.68 0.07
 -------- 18:00 0.17 0.12 0.24 2.53 0.07
 -------- 19:00 0.15 0.21 0.25 2.21 0.06
 -------- 20:00 0.07 0.25 0.22 2.22 0.03
 19.09.12 21:00 0.07 0.19 0.23 1.99 0.03
 -------- 22:00 0.09 ---- 0.26 2.04 0.04
