 Date Time CO H2S NO2 NO
 17.09.12 12:00 0.15 ---- 0.20 0.15
 -------- 13:00 0.12 0.12 0.18 0.10
 -------- 14:00 0.11 0.12 0.18 0.09
 -------- 15:00 0.11 0.21 0.17 0.08
 -------- 16:00 0.11 0.12 0.18 0.08
 17.09.12 17:00 0.11 0.21 0.20 0.08
 -------- 18:00 0.16 0.21 0.21 0.09
 -------- 19:00 0.15 0.12 0.21 0.12
 -------- 20:00 0.47 ---- 0.25 0.41
 -------- 21:00 1.04 1.25 0.35 1.19
 17.09.12 22:00 1.56 1.67 0.41 1.76
 -------- 23:00 1.73 1.46 0.43 1.97
 -------- 00:00 1.87 1.42 0.42 2.15
 -------- 01:00 1.40 1.04 0.44 2.35
 -------- 02:00 1.51 0.67 0.39 1.97
 18.09.12 03:00 0.75 0.33 0.27 1.01
 -------- 04:00 0.34 0.33 0.21 0.46
 -------- 05:00 0.25 0.21 0.20 0.32
 -------- 06:00 0.28 0.33 0.21 0.41
 -------- 07:00 0.34 0.29 0.23 0.49
 18.09.12 08:00 0.35 0.29 0.23 0.49
 -------- 09:00 0.43 0.25 0.27 0.67
 -------- 10:00 0.41 0.21 0.28 0.59
 -------- 11:00 0.32 0.38 0.30 0.41
 -------- 12:00 0.28 0.25 0.27 0.38
 18.09.12 13:00 0.13 0.12 0.19 0.16
 -------- 14:00 0.09 ---- 0.19 0.11
 -------- 15:00 0.09 0.12 0.22 0.10
 -------- 16:00 0.13 0.12 0.24 0.14
 -------- 17:00 0.14 0.25 0.23 0.13
 18.09.12 18:00 0.17 0.21 0.23 0.13
 -------- 19:00 0.19 0.17 0.24 0.16
 -------- 20:00 0.33 0.17 0.25 0.27
 -------- 21:00 0.39 0.21 0.26 0.35
 -------- 22:00 0.40 0.54 0.26 0.42
 18.09.12 23:00 0.31 0.12 0.24 0.30
 -------- 00:00 0.35 0.12 0.24 0.34
 -------- 01:00 0.65 0.38 0.25 0.76
 -------- 02:00 0.86 0.75 0.29 1.15
 -------- 03:00 0.54 0.33 0.24 0.74
 19.09.12 04:00 0.40 0.19 0.22 0.55
 -------- 05:00 0.41 0.17 0.20 0.59
 -------- 06:00 0.27 0.17 0.20 0.31
 -------- 07:00 0.13 0.17 0.18 0.10
 -------- 08:00 0.17 0.12 0.17 0.10
 19.09.12 09:00 0.31 0.25 0.23 0.29
 -------- 10:00 0.23 0.25 0.22 0.19
