 Date Time CO H2S NO2 CHX NO
 31.03.13 12:00 0.13 0.31 0.20 1.66 0.09
 -------- 13:00 0.11 0.38 0.20 1.66 0.08
 -------- 14:00 0.11 0.38 0.23 1.88 0.10
 -------- 15:00 0.13 0.33 0.22 3.67 0.09
 -------- 16:00 0.12 0.38 0.23 1.80 0.08
 31.03.13 17:00 0.13 0.33 0.24 1.65 0.09
 -------- 18:00 0.12 0.29 0.25 1.62 0.08
 -------- 19:00 0.12 0.29 0.29 1.62 0.09
 -------- 20:00 0.11 0.75 0.32 1.79 0.09
 -------- 21:00 0.11 0.79 0.32 1.78 0.11
 31.03.13 22:00 0.18 0.38 0.33 2.12 0.21
 -------- 23:00 0.27 0.42 0.35 2.32 0.32
 -------- 00:00 0.23 0.29 0.33 7.23 0.25
 -------- 01:00 0.25 0.71 0.30 14.59 0.32
 -------- 02:00 0.32 0.79 0.34 3.53 0.63
 01.04.13 03:00 0.15 0.42 0.28 2.52 0.23
 -------- 04:00 0.11 0.46 0.25 2.55 0.10
 -------- 05:00 0.12 0.62 0.23 2.40 0.08
 -------- 06:00 0.11 0.50 0.21 2.45 0.08
 -------- 07:00 0.13 0.62 0.21 2.48 0.09
 01.04.13 08:00 0.13 0.38 0.21 2.26 0.09
 -------- 09:00 0.12 0.29 0.20 2.10 0.06
 -------- 10:00 0.13 0.29 0.17 2.09 0.06
 -------- 11:00 0.09 0.33 0.16 2.07 0.05
 -------- 12:00 0.08 0.33 0.15 1.93 0.04
 01.04.13 13:00 0.07 0.38 0.17 1.89 0.12
 -------- 14:00 0.07 0.33 0.20 1.76 0.25
 -------- 15:00 0.05 0.25 0.14 1.71 0.06
 -------- 16:00 0.04 0.25 0.15 2.63 0.05
 -------- 17:00 0.05 0.25 0.13 2.73 0.03
 01.04.13 18:00 0.09 0.25 0.15 1.83 0.05
 -------- 19:00 0.09 0.25 0.15 1.95 0.04
 -------- 20:00 0.08 0.29 0.15 1.92 0.04
 -------- 21:00 0.08 0.25 0.15 1.78 0.04
 -------- 22:00 0.09 0.25 0.18 1.80 0.04
 01.04.13 23:00 0.12 0.25 0.22 1.86 0.05
 -------- 00:00 0.11 0.17 0.23 1.86 0.05
 -------- 01:00 0.13 0.21 0.23 1.81 0.07
 -------- 02:00 0.13 0.25 0.26 1.76 0.11
 -------- 03:00 0.07 0.12 0.18 1.68 0.06
 02.04.13 04:00 0.09 0.17 0.21 1.78 0.08
 -------- 05:00 0.20 0.29 0.27 2.18 0.23
 -------- 06:00 0.23 0.29 0.27 2.58 0.29
 -------- 07:00 0.21 0.29 0.28 2.81 0.29
 -------- 08:00 0.19 0.25 0.26 2.17 0.24
 02.04.13 09:00 0.13 0.33 0.24 1.80 0.17
 -------- 10:00 0.13 0.21 0.22 1.67 0.14
 -------- 11:00 0.11 0.25 0.22 1.70 0.12
