 Date Time CO H2S NO2 CHX NO
 09.04.13 00:00 0.76 0.31 0.44 3.76 0.72
 -------- 01:00 0.96 0.75 0.50 3.63 1.20
 -------- 02:00 0.95 0.88 0.53 3.30 1.45
 -------- 03:00 0.74 0.88 0.51 3.08 1.28
 -------- 04:00 0.75 0.96 0.52 3.49 1.26
 09.04.13 05:00 0.85 1.08 0.55 3.89 1.48
 -------- 06:00 0.92 1.17 0.57 5.15 1.67
 -------- 07:00 1.05 1.29 0.61 5.15 1.81
 -------- 08:00 0.93 1.38 0.67 4.28 1.71
 -------- 09:00 0.31 0.87 0.46 2.52 0.55
 09.04.13 10:00 0.18 0.62 0.38 2.28 0.26
 -------- 11:00 0.15 0.67 0.46 2.54 0.16
 -------- 12:00 0.29 0.44 0.21 2.10 0.06
 -------- 13:00 0.11 0.38 0.29 1.79 0.07
 -------- 14:00 0.09 0.33 0.30 1.66 0.07
 09.04.13 15:00 0.11 0.42 0.30 3.50 0.08
 -------- 16:00 0.11 0.42 0.35 2.17 0.09
 -------- 17:00 0.13 0.38 0.33 1.87 0.08
 -------- 18:00 0.13 0.38 0.36 1.73 0.09
 -------- 19:00 0.08 0.33 0.32 1.68 0.05
 09.04.13 20:00 0.12 0.33 0.38 2.01 0.08
 -------- 21:00 0.19 0.38 0.42 2.55 0.16
 -------- 22:00 0.35 0.58 0.45 3.17 0.31
 -------- 23:00 0.58 0.96 0.50 3.97 0.75
 -------- 00:00 0.42 0.79 0.45 3.18 0.48
 10.04.13 01:00 0.60 0.83 0.49 3.05 0.84
 -------- 02:00 0.54 0.92 0.47 2.83 0.81
 -------- 03:00 0.27 0.46 0.39 2.23 0.40
 -------- 04:00 0.35 0.50 0.41 2.48 0.53
 -------- 05:00 0.17 0.58 0.39 2.35 0.25
 10.04.13 06:00 0.18 0.92 0.37 2.83 0.25
 -------- 07:00 0.17 0.83 0.36 2.92 0.25
 -------- 08:00 0.19 0.62 0.37 2.78 0.26
 -------- 09:00 0.12 0.38 0.32 2.36 0.21
 -------- 10:00 0.07 0.25 0.21 1.95 0.06
 10.04.13 11:00 0.07 0.12 0.21 1.97 0.05
 -------- 12:00 0.05 0.12 0.22 2.04 0.05
 -------- 13:00 0.04 0.12 0.20 1.88 0.03
 -------- 14:00 0.04 0.12 0.19 2.11 0.04
 -------- 15:00 0.05 0.12 0.19 5.31 0.03
 10.04.13 16:00 0.05 0.12 0.25 3.22 0.04
 -------- 17:00 0.05 0.12 0.20 2.09 0.03
 -------- 18:00 0.07 0.12 0.22 2.01 0.03
 -------- 19:00 0.07 0.12 0.28 2.15 0.03
