 Date Time CO H2S NO2 CHX NO
 27.02.13 12:00 0.14 0.50 0.24 1.62 0.11
 -------- 13:00 0.13 0.50 0.24 1.59 0.13
 -------- 14:00 0.13 0.50 0.23 1.58 0.12
 -------- 15:00 0.13 0.50 0.22 1.58 0.12
 -------- 16:00 0.12 0.21 0.22 1.61 0.09
 27.02.13 17:00 0.11 0.25 0.21 1.56 0.07
 -------- 18:00 0.17 0.25 0.23 1.61 0.08
 -------- 19:00 0.11 0.25 0.19 1.54 0.05
 -------- 20:00 0.14 0.29 0.23 1.58 0.10
 -------- 21:00 0.15 0.38 0.23 1.60 0.12
 27.02.13 22:00 0.12 0.25 0.20 1.56 0.07
 -------- 23:00 0.20 0.33 0.24 1.78 0.16
 -------- 00:00 0.21 0.21 0.25 1.88 0.17
 -------- 01:00 0.15 0.25 0.25 1.87 0.12
 -------- 02:00 0.14 0.25 0.24 1.91 0.10
 28.02.13 03:00 0.10 0.17 0.19 1.65 0.06
 -------- 04:00 0.10 0.12 0.17 1.58 0.05
 -------- 05:00 0.08 0.17 0.15 1.51 0.04
 -------- 06:00 0.07 0.38 0.16 1.61 0.04
 -------- 07:00 0.09 0.33 0.14 1.54 0.03
 28.02.13 08:00 0.10 0.25 0.16 1.56 0.04
 -------- 09:00 0.10 0.33 0.16 1.56 0.05
 -------- 10:00 0.10 0.25 0.16 1.54 0.04
 -------- 11:00 0.10 0.12 0.15 1.50 0.04
 -------- 12:00 0.10 0.17 0.17 1.50 0.06
 28.02.13 13:00 0.10 0.12 0.19 1.51 0.07
 -------- 14:00 0.10 0.12 0.17 1.51 0.06
 -------- 15:00 0.10 0.12 0.18 1.53 0.06
 -------- 16:00 0.11 0.12 0.18 1.51 0.06
 -------- 17:00 0.12 0.12 0.20 1.55 0.07
 28.02.13 18:00 0.15 0.12 0.21 1.59 0.09
 -------- 19:00 0.11 0.17 0.22 1.60 0.09
 -------- 20:00 0.07 0.21 0.20 1.57 0.06
 -------- 21:00 0.08 0.12 0.20 1.57 0.07
 -------- 22:00 0.08 0.17 0.20 1.56 0.07
 28.02.13 23:00 0.10 0.25 0.21 1.61 0.10
 -------- 00:00 0.08 0.17 0.19 1.57 0.06
 -------- 01:00 0.06 0.50 0.18 1.60 0.05
 -------- 02:00 0.05 0.33 0.18 1.59 0.05
 -------- 03:00 0.04 0.42 0.16 1.58 0.04
 01.03.13 04:00 0.04 0.25 0.15 1.52 0.04
 -------- 05:00 0.04 0.38 0.16 1.60 0.04
 -------- 06:00 0.09 0.29 0.21 1.77 0.11
 -------- 07:00 0.08 0.25 0.21 1.69 0.11
 -------- 08:00 0.09 0.25 0.20 1.80 0.09
 01.03.13 09:00 0.11 0.29 0.21 1.70 0.11
 -------- 10:00 0.15 0.29 0.21 1.71 0.13
 -------- 11:00 0.11 0.29 0.20 1.63 0.11
