 Date Time CO H2S NO2 CHX NO
 29.10.12 00:00 0.29 0.31 0.15 4.51 0.29
 -------- 01:00 0.23 0.21 0.16 2.38 0.26
 -------- 02:00 0.15 0.21 0.13 1.77 0.13
 -------- 03:00 0.09 0.12 0.11 1.47 0.07
 -------- 04:00 0.08 0.25 0.10 1.43 0.06
 29.10.12 05:00 0.08 0.25 0.10 1.39 0.06
 -------- 06:00 0.11 0.25 0.12 1.38 0.10
 -------- 07:00 0.09 0.25 0.12 1.37 0.09
 -------- 08:00 0.09 0.12 0.12 1.39 0.10
 -------- 09:00 0.09 0.12 0.14 1.38 0.11
 29.10.12 10:00 0.09 0.12 0.15 1.38 0.12
 -------- 11:00 0.07 0.12 0.17 1.37 0.11
 -------- 12:00 0.09 0.12 0.17 1.38 0.11
 -------- 13:00 0.09 0.17 0.17 1.40 0.11
 -------- 14:00 0.09 0.25 0.18 1.40 0.12
 29.10.12 15:00 0.09 0.17 0.18 1.41 0.12
 -------- 16:00 0.07 ---- 0.15 1.38 0.08
 -------- 17:00 0.07 0.12 0.15 1.35 0.08
 -------- 18:00 0.11 0.12 0.15 1.40 0.08
 -------- 19:00 0.09 0.19 0.17 1.40 0.11
 29.10.12 20:00 0.08 ---- 0.13 1.35 0.05
 -------- 21:00 0.06 0.12 0.13 1.33 0.04
 -------- 22:00 0.06 0.12 0.10 1.32 0.03
 -------- 23:00 0.07 0.17 0.12 1.63 0.05
 -------- 00:00 0.08 0.25 0.14 2.78 0.07
 30.10.12 01:00 0.09 0.19 0.15 1.62 0.08
 -------- 02:00 0.07 ---- 0.11 1.45 0.06
 -------- 03:00 0.05 0.12 0.10 1.38 0.04
 -------- 04:00 0.04 0.12 0.11 1.37 0.04
 -------- 05:00 0.05 0.12 0.13 1.39 0.05
 30.10.12 06:00 0.07 0.12 0.14 1.58 0.04
 -------- 07:00 0.07 0.12 0.15 1.62 0.07
 -------- 08:00 0.06 0.17 0.14 1.54 0.05
 -------- 09:00 0.07 0.12 0.15 1.51 0.07
 -------- 10:00 0.08 0.29 0.15 1.55 0.10
 30.10.12 11:00 0.06 0.21 0.14 1.51 0.08
 -------- 12:00 0.07 0.25 0.14 1.52 0.07
 -------- 13:00 0.07 0.29 0.13 1.57 0.06
 -------- 14:00 0.05 0.25 0.13 1.67 0.04
 -------- 15:00 0.06 0.21 0.15 3.82 0.05
 30.10.12 16:00 0.04 0.12 0.13 1.79 0.03
 -------- 17:00 0.04 0.12 0.12 1.50 0.02
 -------- 18:00 0.05 0.12 0.12 1.50 0.02
 -------- 19:00 0.05 0.12 0.11 1.46 0.02
 -------- 20:00 0.06 0.12 0.10 1.50 0.02
 30.10.12 21:00 0.06 0.17 0.10 1.55 0.02
 -------- 22:00 0.07 0.62 0.09 1.63 0.02
 -------- 23:00 0.05 0.83 0.09 1.60 0.02
