 Date Time CO H2S NO2 CHX NO
 08.04.13 12:00 0.10 0.12 0.29 1.83 0.12
 -------- 13:00 0.10 0.12 0.29 1.67 0.10
 -------- 14:00 0.10 0.12 0.29 1.64 0.10
 -------- 15:00 0.10 0.12 0.30 1.86 0.10
 -------- 16:00 0.10 0.12 0.27 2.43 0.09
 08.04.13 17:00 0.08 0.12 0.28 1.62 0.07
 -------- 18:00 0.09 0.12 0.25 1.80 0.05
 -------- 19:00 0.10 0.12 0.27 2.05 0.05
 -------- 20:00 0.11 0.12 0.25 2.03 0.03
 -------- 21:00 0.25 0.21 0.39 2.09 0.19
 08.04.13 22:00 0.44 0.29 0.42 2.93 0.32
 -------- 23:00 0.55 0.46 0.44 3.61 0.53
 -------- 00:00 0.71 0.38 0.43 3.57 0.63
 -------- 01:00 0.96 0.75 0.50 3.63 1.20
 -------- 02:00 0.95 0.88 0.53 3.30 1.45
 09.04.13 03:00 0.74 0.88 0.51 3.08 1.28
 -------- 04:00 0.75 0.96 0.52 3.49 1.26
 -------- 05:00 0.85 1.08 0.55 3.89 1.48
 -------- 06:00 0.92 1.17 0.57 5.15 1.67
 -------- 07:00 1.05 1.29 0.61 5.15 1.81
 09.04.13 08:00 0.93 1.38 0.67 4.28 1.71
 -------- 09:00 0.31 0.87 0.46 2.52 0.55
 -------- 10:00 0.18 0.62 0.38 2.28 0.26
 -------- 11:00 0.15 0.67 0.46 2.54 0.16
 -------- 12:00 0.29 0.44 0.21 2.10 0.06
 09.04.13 13:00 0.11 0.38 0.29 1.79 0.07
 -------- 14:00 0.09 0.33 0.30 1.66 0.07
 -------- 15:00 0.11 0.42 0.30 3.50 0.08
 -------- 16:00 0.11 0.42 0.35 2.17 0.09
 -------- 17:00 0.13 0.38 0.33 1.87 0.08
 09.04.13 18:00 0.13 0.38 0.36 1.73 0.09
 -------- 19:00 0.08 0.33 0.32 1.68 0.05
 -------- 20:00 0.12 0.33 0.38 2.01 0.08
 -------- 21:00 0.19 0.38 0.42 2.55 0.16
 -------- 22:00 0.35 0.58 0.45 3.17 0.31
 09.04.13 23:00 0.58 0.96 0.50 3.97 0.75
 -------- 00:00 0.42 0.79 0.45 3.18 0.48
 -------- 01:00 0.60 0.83 0.49 3.05 0.84
 -------- 02:00 0.54 0.92 0.47 2.83 0.81
 -------- 03:00 0.27 0.46 0.39 2.23 0.40
 10.04.13 04:00 0.35 0.50 0.41 2.48 0.53
 -------- 05:00 0.17 0.58 0.39 2.35 0.25
 -------- 06:00 0.18 0.92 0.37 2.83 0.25
 -------- 07:00 0.17 0.83 0.36 2.92 0.25
 -------- 08:00 0.19 0.62 0.37 2.78 0.26
 10.04.13 09:00 0.12 0.38 0.32 2.36 0.21
 -------- 10:00 0.07 0.25 0.21 1.95 0.06
 -------- 11:00 0.07 0.12 0.21 1.97 0.05
