 Date Time CO H2S NO2 CHX NO
 21.11.12 00:00 0.09 0.31 0.12 1.50 0.05
 -------- 01:00 0.09 0.17 0.13 1.64 0.06
 -------- 02:00 0.09 0.25 0.11 1.58 0.04
 -------- 03:00 0.08 0.29 0.10 1.50 0.03
 -------- 04:00 0.08 0.50 0.12 1.49 0.05
 21.11.12 05:00 0.08 0.21 0.10 1.47 0.04
 -------- 06:00 0.09 0.33 0.13 1.52 0.07
 -------- 07:00 0.12 0.21 0.18 1.68 0.13
 -------- 08:00 0.16 0.25 0.17 1.90 0.19
 -------- 09:00 0.19 0.19 0.19 2.13 0.22
 21.11.12 10:00 0.21 0.12 0.19 1.95 0.27
 -------- 11:00 0.15 0.31 0.18 1.74 0.26
 -------- 12:00 0.17 0.46 0.16 1.68 0.24
 -------- 13:00 0.18 0.62 0.17 1.74 0.25
 -------- 14:00 0.17 0.58 0.18 1.77 0.26
 21.11.12 15:00 0.15 0.25 0.16 1.76 0.26
 -------- 16:00 0.14 0.12 0.16 1.69 0.23
 -------- 17:00 0.14 0.46 0.16 1.69 0.19
 -------- 18:00 0.15 0.71 0.15 1.74 0.19
 -------- 19:00 0.12 0.62 0.16 1.68 0.15
 21.11.12 20:00 0.11 0.58 0.16 1.64 0.16
 -------- 21:00 0.14 0.33 0.16 1.66 0.19
 -------- 22:00 0.13 0.25 0.16 1.64 0.19
 -------- 23:00 0.12 0.17 0.15 1.63 0.18
 -------- 00:00 0.10 0.33 0.16 1.59 0.16
 22.11.12 01:00 0.06 0.50 0.15 1.60 0.09
 -------- 02:00 0.04 0.54 0.14 1.57 0.09
 -------- 03:00 0.04 0.33 0.14 1.60 0.09
 -------- 04:00 0.04 0.38 0.14 1.63 0.10
 -------- 05:00 0.04 0.50 0.14 1.63 0.10
 22.11.12 06:00 0.08 0.29 0.13 1.63 0.16
 -------- 07:00 0.12 0.38 0.15 1.64 0.20
 -------- 08:00 0.17 0.38 0.14 1.71 0.21
 -------- 09:00 0.24 0.21 0.16 2.14 0.31
 -------- 10:00 0.25 0.38 0.17 2.16 0.33
 22.11.12 11:00 0.23 0.33 0.18 1.93 0.32
 -------- 12:00 0.24 0.38 0.19 1.97 0.29
 -------- 13:00 0.22 0.38 0.21 1.84 0.26
 -------- 14:00 0.21 0.38 0.22 1.88 0.20
 -------- 15:00 0.19 0.29 0.22 3.54 0.18
 22.11.12 16:00 0.17 0.46 0.22 2.02 0.16
 -------- 17:00 0.18 0.25 0.21 1.83 0.13
 -------- 18:00 0.15 0.17 0.20 1.76 0.09
 -------- 19:00 0.16 0.21 0.21 1.81 0.10
 -------- 20:00 0.17 0.25 0.20 1.85 0.10
 22.11.12 21:00 0.17 0.17 0.20 1.80 0.10
 -------- 22:00 0.19 0.12 0.19 1.72 0.09
 -------- 23:00 0.19 0.12 0.21 1.89 0.14
