 Date Time CO H2S NO2 CHX NO
 01.05.13 12:00 0.07 0.19 0.25 1.51 0.06
 -------- 13:00 0.07 0.17 0.22 1.51 0.05
 -------- 14:00 0.06 0.12 0.23 1.51 0.05
 -------- 15:00 0.06 0.17 0.21 1.49 0.04
 -------- 16:00 0.05 0.12 0.20 1.47 0.03
 01.05.13 17:00 0.05 0.12 0.21 1.47 0.04
 -------- 18:00 0.07 0.12 0.23 1.47 0.04
 -------- 19:00 0.07 0.12 0.24 1.48 0.05
 -------- 20:00 0.05 0.12 0.25 1.46 0.04
 -------- 21:00 0.09 0.12 0.34 1.50 0.07
 01.05.13 22:00 0.09 0.12 0.38 1.54 0.07
 -------- 23:00 0.27 0.21 0.46 1.98 0.36
 -------- 00:00 0.62 0.46 0.51 7.11 0.88
 -------- 01:00 1.02 3.88 0.58 20.37 1.60
 -------- 02:00 0.82 5.71 0.51 6.00 1.52
 02.05.13 03:00 0.54 3.17 0.46 3.85 1.17
 -------- 04:00 0.53 2.88 0.41 3.74 0.98
 -------- 05:00 0.47 2.67 0.42 3.69 1.03
 -------- 06:00 0.51 1.75 0.46 3.83 1.22
 -------- 07:00 0.30 1.63 0.42 2.60 0.75
 02.05.13 08:00 0.15 1.04 0.35 2.12 0.25
 -------- 09:00 0.12 0.62 0.34 2.02 0.18
 -------- 10:00 0.09 0.46 0.25 1.71 0.11
 -------- 11:00 0.08 0.46 0.22 1.61 0.08
 -------- 12:00 0.07 0.42 0.21 1.58 0.07
 02.05.13 13:00 0.07 0.42 0.20 1.54 0.06
 -------- 14:00 0.06 0.38 0.20 2.52 0.05
 -------- 15:00 0.07 0.38 0.20 2.02 0.05
 -------- 16:00 0.06 0.38 0.17 1.56 0.03
 -------- 17:00 0.06 0.38 0.18 1.57 0.03
 02.05.13 18:00 0.07 0.33 0.19 1.59 0.03
 -------- 19:00 0.07 0.38 0.22 1.58 0.03
 -------- 20:00 0.07 0.38 0.23 1.57 0.03
 -------- 21:00 0.11 0.46 0.36 1.70 0.06
 -------- 22:00 0.33 0.50 0.48 3.18 0.23
 02.05.13 23:00 0.41 0.71 0.52 5.53 0.38
 -------- 00:00 0.82 0.71 0.57 4.11 1.01
 -------- 01:00 0.62 0.46 0.54 3.81 0.83
 -------- 02:00 0.22 0.17 0.45 2.33 0.25
 -------- 03:00 0.11 0.12 0.32 2.09 0.07
 03.05.13 04:00 0.07 0.12 0.32 11.91 0.06
 -------- 05:00 0.07 0.12 0.30 2.49 0.04
 -------- 06:00 0.05 0.12 0.26 1.98 0.02
 -------- 07:00 0.09 0.12 0.36 1.91 0.09
 -------- 08:00 0.09 0.12 0.30 1.78 0.05
 03.05.13 09:00 0.10 0.17 0.29 1.72 0.05
 -------- 10:00 0.09 0.21 0.29 1.72 0.05
 -------- 11:00 0.10 0.12 0.31 1.74 0.05
 -------- 12:00 0.10 0.12 0.28 1.72 0.05
