 Date Time CO H2S NO2 CHX NO
 09.11.12 12:00 0.21 0.25 0.15 1.77 0.25
 -------- 13:00 0.26 0.19 0.16 1.82 0.28
 -------- 14:00 0.23 ---- 0.15 1.71 0.21
 -------- 15:00 0.21 0.29 0.16 1.59 0.22
 -------- 16:00 0.18 0.50 0.15 1.83 0.19
 09.11.12 17:00 0.18 0.38 0.14 1.76 0.17
 -------- 18:00 0.13 0.46 0.15 1.51 0.12
 -------- 19:00 0.13 0.25 0.14 1.42 0.11
 -------- 20:00 0.11 0.25 0.13 1.39 0.10
 -------- 21:00 0.11 0.29 0.15 1.37 0.09
 09.11.12 22:00 0.10 0.25 0.14 1.40 0.08
 -------- 23:00 0.11 0.19 0.14 1.40 0.10
 -------- 00:00 0.08 ---- 0.13 1.37 0.06
 -------- 01:00 0.07 0.12 0.13 1.33 0.04
 -------- 02:00 0.07 0.25 0.14 1.33 0.04
 10.11.12 03:00 0.07 0.12 0.15 1.32 0.05
 -------- 04:00 0.07 ---- 0.16 1.33 0.06
 -------- 05:00 0.07 0.12 0.17 1.33 0.07
 -------- 06:00 0.06 0.17 0.16 1.32 0.08
 -------- 07:00 0.05 0.12 0.15 1.34 0.08
 10.11.12 08:00 0.05 0.12 0.17 1.35 0.12
 -------- 09:00 0.07 0.12 0.17 1.36 0.12
 -------- 10:00 0.10 0.12 0.18 1.39 0.17
 -------- 11:00 0.11 0.25 0.18 1.42 0.17
 -------- 12:00 0.10 0.38 0.19 1.45 0.17
 10.11.12 13:00 0.10 0.25 0.18 1.44 0.14
 -------- 14:00 0.11 0.12 0.19 1.43 0.16
 -------- 15:00 0.07 0.25 0.16 1.38 0.08
 -------- 16:00 0.08 0.38 0.18 1.37 0.10
 -------- 17:00 0.09 0.31 0.19 1.40 0.12
 10.11.12 18:00 0.13 ---- 0.20 1.45 0.16
 -------- 19:00 0.17 0.19 0.20 1.51 0.15
 -------- 20:00 0.13 0.25 0.19 1.47 0.12
 -------- 21:00 0.18 0.17 0.20 1.53 0.18
 -------- 22:00 0.26 0.17 0.22 1.62 0.35
 10.11.12 23:00 0.20 0.29 0.21 1.59 0.27
 -------- 00:00 0.24 0.62 0.21 1.66 0.32
 -------- 01:00 0.35 0.42 0.22 2.16 0.46
 -------- 02:00 0.50 0.50 0.24 2.58 0.67
 -------- 03:00 0.51 0.42 0.23 2.18 0.72
 11.11.12 04:00 0.41 0.46 0.21 2.15 0.45
 -------- 05:00 0.40 0.46 0.23 2.48 0.57
 -------- 06:00 0.27 0.33 0.21 2.30 0.44
 -------- 07:00 0.25 0.29 0.18 2.05 0.31
 -------- 08:00 0.21 0.38 0.18 2.04 0.25
 11.11.12 09:00 0.25 0.17 0.17 2.04 0.22
 -------- 10:00 0.21 0.25 0.18 2.05 0.26
 -------- 11:00 0.18 0.17 0.17 1.78 0.20
