 Date Time CO H2S NO2 CHX NO
 26.09.12 00:00 0.08 0.12 0.11 1.53 0.08
 -------- 01:00 0.05 0.17 0.10 1.50 0.04
 -------- 02:00 0.05 0.25 0.10 1.52 0.05
 -------- 03:00 0.04 0.17 0.10 1.49 0.05
 -------- 04:00 0.04 0.12 0.09 1.49 0.03
 26.09.12 05:00 0.06 0.12 0.10 1.55 0.07
 -------- 06:00 0.06 0.12 0.12 1.56 0.09
 -------- 07:00 0.09 0.12 0.13 1.57 0.13
 -------- 08:00 0.09 0.12 0.13 1.56 0.16
 -------- 09:00 0.10 0.12 0.14 1.59 0.18
 26.09.12 10:00 0.09 0.21 0.13 1.60 0.15
 -------- 11:00 0.09 0.17 0.14 1.65 0.16
 -------- 12:00 0.08 0.12 0.16 1.58 0.14
 -------- 13:00 0.07 0.12 0.19 1.57 0.14
 -------- 14:00 0.08 0.12 0.19 1.62 0.14
 26.09.12 15:00 0.08 0.12 0.19 1.61 0.13
 -------- 16:00 0.07 0.12 0.19 1.59 0.13
 -------- 17:00 0.09 0.17 0.19 1.57 0.14
 -------- 18:00 0.11 0.21 0.19 1.66 0.13
 -------- 19:00 0.14 0.17 0.21 1.74 0.19
 26.09.12 20:00 0.17 0.12 0.19 1.71 0.15
 -------- 21:00 0.15 0.12 0.17 1.67 0.10
 -------- 22:00 0.15 0.12 0.16 1.68 0.11
 -------- 23:00 0.17 0.12 0.18 1.69 0.16
 -------- 00:00 0.17 0.12 0.18 1.88 0.14
 27.09.12 01:00 0.56 0.33 0.20 2.82 0.62
 -------- 02:00 0.43 0.29 0.15 2.35 0.48
 -------- 03:00 0.55 0.25 0.17 2.52 0.67
 -------- 04:00 0.61 0.46 0.17 3.17 0.80
 -------- 05:00 0.43 0.33 0.14 3.48 0.67
 27.09.12 06:00 0.53 0.54 0.16 3.73 0.71
 -------- 07:00 0.63 0.75 0.21 4.87 0.98
 -------- 08:00 0.40 0.62 0.16 3.79 0.59
 -------- 09:00 0.17 0.25 0.14 2.45 0.21
 -------- 10:00 0.11 0.12 0.13 2.27 0.12
 27.09.12 11:00 0.09 0.12 0.13 2.10 0.09
 -------- 12:00 0.05 0.12 0.10 1.84 0.05
 -------- 13:00 0.07 0.12 0.14 1.91 0.07
 -------- 14:00 0.04 0.17 0.12 1.81 0.04
 -------- 15:00 0.04 0.12 0.11 1.73 0.03
 27.09.12 16:00 0.04 ---- 0.12 1.97 0.03
 -------- 17:00 0.05 0.12 0.13 5.56 0.02
 -------- 18:00 0.07 0.12 0.17 2.22 0.04
 -------- 19:00 0.06 0.12 0.17 2.13 0.03
 -------- 20:00 0.08 0.12 0.15 1.95 0.03
 27.09.12 21:00 0.08 0.17 0.13 1.98 0.02
 -------- 22:00 0.09 0.17 0.14 1.89 0.02
 -------- 23:00 0.08 0.17 0.15 1.89 0.02
 -------- 00:00 0.08 0.25 0.16 1.95 0.02
