 Date Time CO H2S NO2 CHX NO
 27.10.12 00:00 0.06 0.31 0.10 1.33 0.03
 -------- 01:00 0.06 0.33 0.09 1.32 0.02
 -------- 02:00 0.09 0.38 0.10 1.32 0.02
 -------- 03:00 0.11 0.12 0.10 1.38 0.02
 -------- 04:00 0.09 0.29 0.10 1.33 0.02
 27.10.12 05:00 0.06 0.29 0.10 1.32 0.02
 -------- 06:00 0.06 0.42 0.10 1.35 0.02
 -------- 07:00 0.05 0.42 0.12 1.36 0.03
 -------- 08:00 0.07 0.33 0.13 1.36 0.04
 -------- 09:00 0.14 0.12 0.15 1.38 0.08
 27.10.12 10:00 0.12 0.12 0.14 1.38 0.08
 -------- 11:00 0.14 0.12 0.13 1.38 0.07
 -------- 12:00 0.13 0.12 0.13 1.38 0.07
 -------- 13:00 0.12 0.12 0.13 1.39 0.07
 -------- 14:00 0.11 0.12 0.13 1.40 0.07
 27.10.12 15:00 0.09 0.21 0.13 1.39 0.06
 -------- 16:00 0.07 0.38 0.15 1.37 0.06
 -------- 17:00 0.11 0.29 0.17 1.60 0.08
 -------- 18:00 0.15 0.33 0.19 1.76 0.11
 -------- 19:00 0.18 0.12 0.19 1.70 0.15
 27.10.12 20:00 0.19 0.12 0.18 1.58 0.13
 -------- 21:00 0.17 0.12 0.18 1.47 0.12
 -------- 22:00 0.15 0.12 0.17 1.45 0.11
 -------- 23:00 0.13 0.12 0.15 1.43 0.08
 -------- 00:00 0.11 0.12 0.15 1.41 0.06
 28.10.12 01:00 0.11 0.17 0.15 1.47 0.06
 -------- 02:00 0.06 0.12 0.09 1.43 0.01
 -------- 03:00 0.05 0.12 0.10 1.42 0.01
 -------- 04:00 0.05 0.12 0.11 1.47 0.01
 -------- 05:00 0.04 0.17 0.08 2.88 0.00
 28.10.12 06:00 0.05 0.17 0.10 1.87 0.01
 -------- 07:00 0.04 0.12 0.09 1.54 0.00
 -------- 08:00 0.02 0.25 0.14 1.53 0.03
 -------- 09:00 0.05 0.29 0.16 1.66 0.04
 -------- 10:00 0.07 0.25 0.17 1.76 0.07
 28.10.12 11:00 0.07 0.21 0.17 1.77 0.07
 -------- 12:00 0.04 0.12 0.12 1.72 0.03
 -------- 13:00 0.03 0.12 0.11 1.54 0.02
 -------- 14:00 0.04 0.12 0.11 1.54 0.03
 -------- 15:00 0.03 0.12 0.10 1.48 0.02
 28.10.12 16:00 0.04 0.17 0.11 1.52 0.03
 -------- 17:00 0.04 0.12 0.12 1.48 0.03
 -------- 18:00 0.05 0.12 0.13 1.51 0.05
 -------- 19:00 0.08 0.12 0.13 1.61 0.05
 -------- 20:00 0.13 0.12 0.13 1.57 0.05
 28.10.12 21:00 0.15 0.17 0.13 1.53 0.06
 -------- 22:00 0.21 0.33 0.13 1.99 0.14
 -------- 23:00 0.31 0.29 0.14 3.16 0.23
