 Date Time CO SO2 NO2 CHX NO
 19.12.12 00:00 0.04 0.01 0.20 1.50 ----
 -------- 01:00 0.03 0.01 0.18 1.49 0.00
 -------- 02:00 0.02 0.01 0.18 1.51 0.00
 -------- 03:00 0.03 0.01 0.20 1.52 ----
 -------- 04:00 0.04 0.01 0.21 1.52 ----
 19.12.12 05:00 0.03 0.01 0.21 1.51 0.01
 -------- 06:00 0.05 0.01 0.25 1.53 0.03
 -------- 07:00 0.07 0.01 0.26 1.57 0.06
 -------- 08:00 0.07 0.01 0.27 1.57 0.06
 -------- 09:00 0.06 0.01 0.27 1.56 0.05
 19.12.12 10:00 0.06 0.01 0.26 1.56 0.06
 -------- 11:00 0.06 0.02 0.25 1.55 0.07
 -------- 12:00 0.06 0.02 0.23 1.52 0.05
 -------- 13:00 0.07 0.02 0.23 1.51 0.07
 -------- 14:00 0.07 0.01 0.23 1.51 0.06
 19.12.12 15:00 0.09 0.01 0.27 1.56 0.08
 -------- 16:00 0.09 0.01 0.28 1.68 0.07
 -------- 17:00 0.09 0.01 0.31 1.54 0.07
 -------- 18:00 0.10 0.01 0.32 1.54 0.08
 -------- 19:00 0.09 0.01 0.32 1.53 0.07
 19.12.12 20:00 0.07 0.01 0.33 1.54 0.06
 -------- 21:00 0.09 0.01 0.34 1.56 0.08
 -------- 22:00 0.09 0.01 0.34 1.56 0.10
 -------- 23:00 0.10 0.01 0.34 1.57 0.10
 -------- 00:00 0.08 0.01 0.33 1.54 0.08
 20.12.12 01:00 0.07 0.01 0.32 1.53 0.07
 -------- 02:00 0.06 0.01 0.31 1.55 0.04
 -------- 03:00 0.05 0.01 0.30 1.70 0.03
 -------- 04:00 0.04 0.01 0.30 1.81 0.02
 -------- 05:00 0.04 0.01 0.30 1.78 0.02
 20.12.12 06:00 0.04 0.01 0.31 1.72 0.03
 -------- 07:00 0.09 0.01 0.31 1.73 0.05
 -------- 08:00 0.14 0.01 0.32 1.79 0.09
 -------- 09:00 0.14 0.01 0.33 1.78 0.10
 -------- 10:00 0.15 0.01 0.33 1.75 0.12
 20.12.12 11:00 0.17 0.01 0.34 1.72 0.16
 -------- 12:00 0.17 0.01 0.33 1.69 0.16
 -------- 13:00 0.18 0.01 0.34 1.71 0.19
 -------- 14:00 0.15 0.01 0.33 1.68 0.14
 -------- 15:00 0.20 0.05 0.42 1.91 0.25
 20.12.12 16:00 0.22 0.07 0.44 1.97 0.29
 -------- 17:00 0.19 0.02 0.38 1.86 0.18
 -------- 18:00 0.17 0.01 0.36 1.86 0.14
 -------- 19:00 0.19 0.01 0.38 2.03 0.21
 -------- 20:00 0.15 0.04 0.39 1.95 0.21
 20.12.12 21:00 0.13 0.05 0.37 1.87 0.22
 -------- 22:00 0.12 0.05 0.35 1.85 0.19
 -------- 23:00 0.13 0.05 0.35 1.89 0.18
