 Date Time CO SO2 NO2 CHX NO
 16.12.12 00:00 0.02 0.01 0.24 1.56 0.01
 -------- 01:00 0.02 0.01 0.23 1.56 ----
 -------- 02:00 0.02 0.01 0.21 1.56 ----
 -------- 03:00 0.02 0.01 0.23 1.56 ----
 -------- 04:00 0.02 0.01 0.23 1.57 0.01
 16.12.12 05:00 0.03 0.01 0.24 1.58 0.01
 -------- 06:00 0.06 0.01 0.25 1.58 0.02
 -------- 07:00 0.08 0.01 0.26 1.60 0.04
 -------- 08:00 0.09 0.01 0.26 1.61 0.05
 -------- 09:00 0.07 0.01 0.25 1.62 0.05
 16.12.12 10:00 0.06 0.01 0.24 1.61 0.05
 -------- 11:00 0.07 0.01 0.23 1.60 0.06
 -------- 12:00 0.09 0.01 0.25 1.62 0.08
 -------- 13:00 0.08 0.02 0.25 1.57 0.06
 -------- 14:00 0.07 0.02 0.26 1.57 0.05
 16.12.12 15:00 0.13 0.02 0.32 1.65 0.09
 -------- 16:00 0.11 0.01 0.33 1.63 0.07
 -------- 17:00 0.10 0.01 0.32 1.57 0.06
 -------- 18:00 0.12 0.00 0.31 1.58 0.05
 -------- 19:00 0.09 0.00 0.31 1.57 0.04
 16.12.12 20:00 0.08 0.01 0.33 1.61 0.04
 -------- 21:00 0.06 0.02 0.34 1.60 0.05
 -------- 22:00 0.07 0.02 0.33 1.61 0.06
 -------- 23:00 0.09 0.01 0.31 1.63 0.10
 -------- 00:00 0.13 0.01 0.31 1.64 0.10
 17.12.12 01:00 0.12 0.01 0.30 1.59 0.04
 -------- 02:00 0.09 0.01 0.29 1.60 0.04
 -------- 03:00 0.11 0.01 0.30 1.65 0.06
 -------- 04:00 0.12 0.01 0.30 1.67 0.06
 -------- 05:00 0.11 0.01 0.34 1.90 0.16
 17.12.12 06:00 0.20 0.02 0.36 2.14 0.23
 -------- 07:00 0.27 0.02 0.37 2.33 0.30
 -------- 08:00 0.26 0.02 0.39 2.00 0.27
 -------- 09:00 0.23 0.01 0.37 1.84 0.22
 -------- 10:00 0.26 0.01 0.43 1.84 0.30
 17.12.12 11:00 0.25 0.01 0.47 1.82 0.32
 -------- 12:00 0.20 0.01 0.47 1.75 0.26
 -------- 13:00 0.23 0.01 0.53 1.83 0.34
 -------- 14:00 0.18 0.01 0.48 1.72 0.22
 -------- 15:00 0.14 0.01 0.41 1.62 0.11
 17.12.12 16:00 0.13 0.01 0.40 1.70 0.09
 -------- 17:00 0.13 0.01 0.39 1.78 0.09
 -------- 18:00 0.13 0.01 0.37 1.73 0.11
 -------- 19:00 0.10 0.03 0.37 1.75 0.17
 -------- 20:00 0.09 0.03 0.32 1.59 0.07
 17.12.12 21:00 0.08 0.00 0.28 1.52 0.01
 -------- 22:00 0.07 0.00 0.27 1.56 0.01
