 Date Time CO SO2 NO2 CHX NO
 13.02.13 00:00 0.04 0.00 0.25 1.56 0.01
 -------- 01:00 0.04 0.00 0.23 1.58 ----
 -------- 02:00 0.04 0.00 0.26 1.58 0.00
 -------- 03:00 0.04 0.00 0.25 1.60 ----
 -------- 04:00 0.04 0.00 0.26 1.59 ----
 13.02.13 05:00 0.03 0.00 0.27 1.54 0.00
 -------- 06:00 0.03 0.01 0.28 1.49 ----
 -------- 07:00 0.06 0.01 0.37 1.55 0.04
 -------- 08:00 0.09 0.02 0.38 1.56 0.08
 -------- 09:00 0.10 0.01 0.39 1.58 0.11
 13.02.13 10:00 0.08 0.02 0.38 1.55 0.08
 -------- 11:00 0.07 0.02 0.37 1.53 0.09
 -------- 12:00 0.07 0.06 0.34 1.56 0.08
 -------- 13:00 0.06 0.09 0.29 1.53 0.05
 -------- 14:00 0.07 0.07 0.33 1.59 0.07
 13.02.13 15:00 0.06 0.03 0.34 1.59 0.06
 -------- 16:00 0.06 0.03 0.33 1.58 0.04
 -------- 17:00 0.08 0.03 0.38 1.58 0.04
 -------- 18:00 0.08 0.02 0.42 1.57 0.03
 -------- 19:00 0.11 0.02 0.47 1.60 0.08
 13.02.13 20:00 0.13 0.02 0.47 1.67 0.13
 -------- 21:00 0.11 0.01 0.46 1.65 0.10
 -------- 22:00 0.11 0.01 0.45 1.64 0.08
 -------- 23:00 0.08 0.01 0.42 1.57 0.03
 -------- 00:00 0.06 0.01 0.39 1.61 0.01
 14.02.13 01:00 0.06 0.01 0.38 1.75 0.01
 -------- 02:00 0.06 0.00 0.37 1.77 0.00
 -------- 03:00 0.04 0.00 0.30 1.65 ----
 -------- 04:00 0.05 0.01 0.39 1.62 0.01
 -------- 05:00 0.06 0.01 0.40 1.61 0.02
 14.02.13 06:00 0.06 0.01 0.39 1.61 0.03
 -------- 07:00 0.07 0.01 0.39 1.66 0.07
 -------- 08:00 0.09 0.00 0.38 1.61 0.08
 -------- 09:00 0.10 0.01 0.39 1.63 0.10
 -------- 10:00 0.11 0.00 0.37 1.65 0.13
 14.02.13 11:00 0.11 0.01 0.38 1.67 0.14
 -------- 12:00 0.11 0.01 0.40 1.69 0.16
 -------- 13:00 0.09 0.01 0.40 1.70 0.15
 -------- 14:00 0.07 0.01 0.37 1.62 0.11
 -------- 15:00 0.07 0.01 0.38 1.60 0.08
 14.02.13 16:00 0.07 0.01 0.38 1.58 0.06
 -------- 17:00 0.07 0.01 0.42 1.57 0.06
 -------- 18:00 0.10 0.01 0.46 1.63 0.10
 -------- 19:00 0.09 0.01 0.47 1.63 0.12
 -------- 20:00 0.05 0.00 0.42 1.70 0.04
 14.02.13 21:00 0.03 0.01 0.41 1.63 0.02
 -------- 22:00 0.05 0.04 0.45 1.71 0.07
 -------- 23:00 0.05 0.07 0.46 1.73 0.08
