 Date Time CO SO2 NO2 CHX NO
 27.01.13 00:00 0.06 0.00 0.27 1.52 ----
 -------- 01:00 0.06 0.00 0.28 1.52 0.01
 -------- 02:00 0.06 0.00 0.27 1.51 0.02
 -------- 03:00 0.06 0.00 0.24 1.51 ----
 -------- 04:00 0.05 0.00 0.22 1.49 ----
 27.01.13 05:00 0.05 0.00 0.19 1.48 ----
 -------- 06:00 0.04 0.00 0.17 1.46 ----
 -------- 07:00 0.04 0.00 0.19 1.49 ----
 -------- 08:00 0.04 0.00 0.19 1.48 ----
 -------- 09:00 0.07 0.01 0.27 1.55 ----
 27.01.13 10:00 0.07 0.00 0.28 1.54 0.01
 -------- 11:00 0.07 0.01 0.27 1.56 0.03
 -------- 12:00 0.06 0.01 0.20 1.52 0.01
 -------- 13:00 0.07 0.01 0.19 1.55 0.02
 -------- 14:00 0.08 0.01 0.22 1.58 0.03
 27.01.13 15:00 0.08 0.01 0.23 1.59 0.02
 -------- 16:00 0.08 0.01 0.24 1.53 0.01
 -------- 17:00 0.09 0.01 0.30 1.54 0.06
 -------- 18:00 0.12 0.01 0.38 1.59 0.07
 -------- 19:00 0.11 0.00 0.38 1.60 0.08
 27.01.13 20:00 0.11 0.00 0.36 1.57 0.03
 -------- 21:00 0.11 0.00 0.36 1.57 0.05
 -------- 22:00 0.12 0.00 0.38 1.61 0.04
 -------- 23:00 0.13 0.00 0.38 1.57 0.05
 -------- 00:00 0.12 0.00 0.36 1.59 0.05
 28.01.13 01:00 0.13 0.01 0.41 1.70 0.16
 -------- 02:00 0.12 0.01 0.40 1.85 0.14
 -------- 03:00 0.07 0.00 0.38 1.66 0.04
 -------- 04:00 0.06 0.00 0.37 1.59 0.02
 -------- 05:00 0.07 0.00 0.37 1.63 0.01
 28.01.13 06:00 0.05 0.01 0.37 1.61 0.02
 -------- 07:00 0.11 0.01 0.40 1.66 0.11
 -------- 08:00 0.13 0.01 0.41 1.70 0.16
 -------- 09:00 0.11 0.01 0.40 1.69 0.11
 -------- 10:00 0.10 0.00 0.39 1.66 0.11
 28.01.13 11:00 0.09 0.01 0.39 1.67 0.13
 -------- 12:00 0.08 0.01 0.38 1.64 0.12
 -------- 13:00 0.07 0.01 0.36 1.60 0.10
 -------- 14:00 0.06 0.01 0.33 1.55 0.05
 -------- 15:00 0.07 0.01 0.35 1.58 0.08
 28.01.13 16:00 0.07 0.01 0.36 1.57 0.06
 -------- 17:00 0.06 0.01 0.30 1.53 0.02
 -------- 18:00 0.06 0.01 0.28 1.52 ----
 -------- 19:00 0.08 0.01 0.30 1.54 0.00
 -------- 20:00 0.10 0.01 0.36 1.58 0.01
 28.01.13 21:00 0.09 0.01 0.33 1.57 0.00
 -------- 22:00 0.10 0.01 0.32 1.56 0.01
 -------- 23:00 0.08 0.00 0.25 1.51 0.00
