 Date Time CO SO2 NO2 CHX NO
 16.10.12 00:00 0.02 0.00 0.15 1.33 0.02
 -------- 01:00 0.02 0.00 0.11 1.34 0.02
 -------- 02:00 0.02 0.00 0.13 1.34 0.02
 -------- 03:00 0.02 0.00 0.16 1.35 0.02
 -------- 04:00 0.02 0.00 0.15 1.35 0.02
 16.10.12 05:00 0.02 0.00 0.14 1.36 0.02
 -------- 06:00 0.03 0.00 0.16 1.36 0.01
 -------- 07:00 0.03 0.00 0.23 1.36 0.02
 -------- 08:00 0.02 0.00 0.24 1.37 0.03
 -------- 09:00 0.04 0.00 0.28 1.39 0.04
 16.10.12 10:00 0.04 0.00 0.32 1.40 0.05
 -------- 11:00 0.04 0.00 0.34 1.41 0.06
 -------- 12:00 0.04 0.00 0.33 1.41 0.06
 -------- 13:00 0.04 0.00 0.33 1.41 0.07
 -------- 14:00 0.04 0.00 0.33 1.43 0.08
 16.10.12 15:00 0.05 0.00 0.37 1.48 0.10
 -------- 16:00 0.05 0.00 0.35 1.42 0.08
 -------- 17:00 0.05 0.00 0.34 1.42 0.08
 -------- 18:00 0.04 0.00 0.34 1.45 0.07
 -------- 19:00 0.05 0.00 0.33 1.44 0.07
 16.10.12 20:00 0.05 0.00 0.31 1.43 0.07
 -------- 21:00 0.05 0.00 0.30 1.43 0.07
 -------- 22:00 0.04 0.00 0.26 1.40 0.05
 -------- 23:00 0.03 0.00 0.26 1.40 0.05
 -------- 00:00 0.02 0.00 0.23 1.42 0.05
 17.10.12 01:00 0.02 0.00 0.22 1.41 0.05
 -------- 02:00 0.02 0.00 0.22 1.44 0.05
 -------- 03:00 0.02 0.00 0.20 1.43 0.04
 -------- 04:00 0.12 0.00 0.19 1.45 0.03
 -------- 05:00 0.02 0.00 0.22 1.46 0.05
 17.10.12 06:00 0.02 0.00 0.20 1.47 0.05
 -------- 07:00 0.03 0.00 0.23 1.46 0.07
 -------- 08:00 0.11 0.00 0.29 1.48 0.12
 -------- 09:00 0.12 0.00 0.31 1.51 0.13
 -------- 10:00 0.11 0.01 0.34 1.55 0.14
 17.10.12 11:00 0.12 0.01 0.32 1.55 0.15
 -------- 12:00 0.10 0.00 0.28 1.54 0.12
 -------- 13:00 0.10 0.00 0.28 1.60 0.11
 -------- 14:00 0.07 0.00 0.27 1.61 0.10
 -------- 15:00 0.06 0.00 0.23 1.46 0.06
 17.10.12 16:00 0.07 0.00 0.32 1.48 0.07
 -------- 17:00 0.11 0.01 0.35 1.54 0.09
 -------- 18:00 0.11 0.01 0.33 1.53 0.07
 -------- 19:00 0.06 0.00 0.25 1.43 0.03
 -------- 20:00 0.05 0.00 0.21 1.45 0.03
 17.10.12 21:00 0.04 0.00 0.22 1.44 0.03
 -------- 22:00 0.04 0.00 0.21 1.46 0.03
 -------- 23:00 0.04 0.00 0.23 1.48 0.03
 -------- 00:00 0.04 0.00 0.23 1.58 0.03
