 Date Time CO SO2 NO2 CHX NO
 01.10.12 23:00 0.13 0.00 0.42 1.45 0.07
 -------- 00:00 0.09 0.00 0.36 1.42 0.05
 -------- 01:00 0.09 0.00 0.36 1.43 0.05
 -------- 02:00 0.09 0.00 0.35 1.46 0.06
 -------- 03:00 0.06 0.00 0.28 1.42 0.03
 02.10.12 04:00 0.05 0.00 0.24 1.41 0.02
 -------- 05:00 0.04 0.00 0.24 1.43 0.02
 -------- 06:00 0.05 0.00 0.24 1.45 0.03
 -------- 07:00 0.09 0.00 0.35 1.49 0.10
 -------- 08:00 0.19 0.01 0.51 1.64 0.21
 02.10.12 09:00 0.24 0.01 0.60 1.80 0.27
 -------- 10:00 0.16 0.00 0.48 1.63 0.14
 -------- 11:00 0.10 0.00 0.40 1.56 0.09
 -------- 12:00 0.05 0.00 0.16 1.46 0.03
 -------- 13:00 0.04 0.00 0.14 1.40 0.02
 02.10.12 14:00 0.02 0.00 0.11 1.33 0.02
 -------- 15:00 0.02 0.00 0.09 1.34 0.02
 -------- 16:00 0.02 0.00 0.10 1.32 0.02
 -------- 17:00 0.03 0.00 0.13 1.33 0.02
 -------- 18:00 0.04 0.00 0.17 1.35 0.02
 02.10.12 19:00 0.08 0.00 0.35 1.38 0.05
 -------- 20:00 0.12 0.00 0.41 1.42 0.07
 -------- 21:00 0.11 0.00 0.39 1.41 0.06
 -------- 22:00 0.12 0.00 0.45 1.49 0.09
 -------- 23:00 0.11 0.00 0.45 1.47 0.09
 03.10.12 00:00 0.06 0.00 0.33 1.39 0.04
 -------- 01:00 0.05 0.00 0.23 1.40 0.02
 -------- 02:00 0.06 0.00 0.24 1.42 0.03
 -------- 03:00 0.05 0.00 0.21 1.37 0.02
 -------- 04:00 0.04 0.00 0.18 1.36 0.02
 03.10.12 05:00 0.04 0.00 0.14 1.34 0.02
 -------- 06:00 0.04 0.00 0.15 1.35 0.02
 -------- 07:00 0.04 0.00 0.18 1.36 0.02
 -------- 08:00 0.03 0.00 0.22 1.37 0.02
 -------- 09:00 0.04 0.00 0.25 1.40 0.03
 03.10.12 10:00 0.05 0.00 0.28 1.43 0.05
 -------- 11:00 0.04 0.00 0.24 1.41 0.04
 -------- 12:00 0.02 0.00 0.16 1.38 0.03
 -------- 13:00 ---- 0.00 0.13 1.37 0.02
 -------- 14:00 ---- 0.00 0.15 1.37 0.02
 03.10.12 15:00 0.02 0.00 0.17 1.37 0.02
 -------- 16:00 0.02 0.00 0.17 1.37 0.02
 -------- 17:00 0.02 0.00 0.18 1.38 0.03
 -------- 18:00 0.03 0.00 0.20 1.40 0.04
 -------- 19:00 0.04 0.00 0.22 1.41 0.04
 03.10.12 20:00 0.06 0.00 0.23 1.42 0.05
 -------- 21:00 0.05 0.00 0.24 1.42 0.06
 -------- 22:00 0.09 0.00 0.27 1.46 0.08
