 Date Time SO2 OZ NO2 CHX NO
 11.12.12 00:00 ---- 0.20 0.14 1.48 0.04
 -------- 01:00 ---- 0.25 0.12 1.49 0.03
 -------- 02:00 ---- 0.26 0.11 1.47 0.02
 -------- 03:00 ---- 0.30 0.11 1.45 0.02
 -------- 04:00 ---- 0.34 0.10 1.43 0.01
 11.12.12 05:00 ---- 0.34 0.12 1.43 0.02
 -------- 06:00 ---- 0.33 0.13 1.42 0.02
 -------- 07:00 0.00 0.24 0.18 1.45 0.09
 -------- 08:00 0.00 0.19 0.21 1.50 0.10
 -------- 09:00 ---- 0.22 0.19 1.45 0.06
 11.12.12 10:00 ---- 0.21 0.20 1.47 0.06
 -------- 11:00 0.00 0.18 0.22 1.48 0.08
 -------- 12:00 ---- 0.23 0.19 1.44 0.05
 -------- 13:00 ---- 0.24 0.19 1.46 0.06
 -------- 14:00 0.00 0.25 0.19 1.49 0.08
 11.12.12 15:00 ---- 0.29 0.14 1.51 0.04
 -------- 16:00 0.00 0.27 0.15 1.48 0.05
 -------- 17:00 0.00 0.12 0.25 1.54 0.12
 -------- 18:00 0.00 0.04 0.31 1.61 0.18
 -------- 19:00 0.00 0.04 0.27 1.57 0.14
 11.12.12 20:00 0.00 0.06 0.28 1.54 0.12
 -------- 21:00 0.00 0.01 0.29 1.57 0.13
 -------- 22:00 0.00 0.01 0.27 1.57 0.12
 -------- 23:00 0.00 0.01 0.26 1.55 0.11
 -------- 00:00 0.00 0.01 0.25 1.52 0.09
 12.12.12 01:00 0.00 0.01 0.25 1.50 0.05
 -------- 02:00 0.00 0.01 0.24 1.50 0.04
 -------- 03:00 0.00 0.01 0.24 1.49 0.04
 -------- 04:00 0.00 ---- 0.23 1.48 0.04
 -------- 05:00 0.00 0.01 0.25 1.50 0.05
 12.12.12 06:00 0.00 0.01 0.26 1.50 0.09
 -------- 07:00 0.01 ---- 0.28 1.56 0.18
 -------- 08:00 0.01 0.01 0.28 1.65 0.26
 -------- 09:00 0.01 0.01 0.27 1.60 0.20
 -------- 10:00 0.01 0.01 0.26 1.62 0.21
 12.12.12 11:00 0.00 0.02 0.24 1.60 0.17
 -------- 12:00 0.01 0.04 0.23 1.62 0.19
 -------- 13:00 0.01 0.04 0.23 1.59 0.20
 -------- 14:00 0.01 0.03 0.26 1.64 0.27
 -------- 15:00 0.01 0.03 0.29 1.81 0.25
 12.12.12 16:00 0.01 0.01 0.28 1.70 0.29
 -------- 17:00 0.01 0.01 0.28 1.77 0.26
 -------- 18:00 0.01 0.01 0.28 1.75 0.23
 -------- 19:00 0.01 0.01 0.25 1.73 0.18
 -------- 20:00 0.01 0.01 0.25 1.73 0.16
 12.12.12 21:00 0.00 0.01 0.22 1.71 0.16
 -------- 22:00 0.00 0.01 0.23 1.66 0.11
 -------- 23:00 0.00 0.01 0.23 1.59 0.07
