 Date Time SO2 OZ NO2 CHX NO
 28.02.13 00:00 0.00 0.14 0.31 1.49 0.03
 -------- 01:00 0.00 0.18 0.25 1.40 0.02
 -------- 02:00 0.00 0.22 0.18 1.41 0.01
 -------- 03:00 0.00 0.26 0.13 1.38 0.01
 -------- 04:00 0.00 0.29 0.09 1.37 0.00
 28.02.13 05:00 ---- 0.29 0.13 1.37 0.02
 -------- 06:00 0.00 0.27 0.14 1.37 0.02
 -------- 07:00 0.00 0.24 0.20 1.39 0.04
 -------- 08:00 0.00 0.21 0.25 1.46 0.07
 -------- 09:00 0.00 0.21 0.24 1.45 0.06
 28.02.13 10:00 0.00 0.22 0.23 1.43 0.05
 -------- 11:00 0.00 0.21 0.25 1.43 0.05
 -------- 12:00 0.00 0.22 0.26 1.43 0.05
 -------- 13:00 0.00 0.22 0.27 1.43 0.05
 -------- 14:00 0.00 0.23 0.26 1.43 0.05
 28.02.13 15:00 0.00 0.21 0.29 1.43 0.06
 -------- 16:00 0.00 0.23 0.29 1.43 0.05
 -------- 17:00 0.00 0.19 0.33 1.45 0.08
 -------- 18:00 0.00 0.16 0.36 1.48 0.10
 -------- 19:00 0.00 0.16 0.38 1.51 0.10
 28.02.13 20:00 0.00 0.17 0.36 1.50 0.09
 -------- 21:00 0.00 0.19 0.33 1.46 0.06
 -------- 22:00 0.00 0.18 0.32 1.47 0.06
 -------- 23:00 0.00 0.17 0.31 1.43 0.05
 -------- 00:00 0.00 0.18 0.26 1.39 0.05
 01.03.13 01:00 0.00 0.20 0.22 1.39 0.02
 -------- 02:00 ---- 0.24 0.18 1.37 0.01
 -------- 03:00 ---- 0.25 0.15 1.36 0.01
 -------- 04:00 ---- 0.27 0.13 1.37 0.02
 -------- 05:00 ---- 0.26 0.19 1.39 0.02
 01.03.13 06:00 ---- 0.25 0.20 1.39 0.03
 -------- 07:00 ---- 0.24 0.20 1.40 0.02
 -------- 08:00 ---- 0.21 0.22 1.41 0.03
 -------- 09:00 ---- 0.20 0.24 1.41 0.03
 -------- 10:00 0.00 0.18 0.29 1.44 0.06
 01.03.13 11:00 0.00 0.19 0.27 1.43 0.05
 -------- 12:00 0.00 0.18 0.30 1.45 0.09
 -------- 13:00 0.00 0.17 0.32 1.50 0.11
 -------- 14:00 0.00 0.17 0.30 1.44 0.11
 -------- 15:00 0.00 0.17 0.30 1.46 0.09
 01.03.13 16:00 0.00 0.18 0.28 1.44 0.07
 -------- 17:00 0.00 0.22 0.27 1.43 0.06
 -------- 18:00 0.00 0.23 0.26 1.41 0.06
 -------- 19:00 0.00 0.23 0.23 1.40 0.04
 -------- 20:00 0.00 0.20 0.27 1.43 0.05
 01.03.13 21:00 0.00 0.19 0.28 1.43 0.06
 -------- 22:00 0.00 0.18 0.25 1.48 0.05
 -------- 23:00 0.00 0.18 0.23 1.47 0.05
 -------- 00:00 0.00 0.17 0.17 1.40 0.01
