 Date Time SO2 OZ NO2 CHX NO
 02.03.13 00:00 ---- 0.18 0.17 1.40 0.02
 -------- 01:00 ---- 0.22 0.12 1.38 0.01
 -------- 02:00 ---- 0.23 0.14 1.40 0.02
 -------- 03:00 ---- 0.26 0.10 1.36 0.01
 -------- 04:00 ---- 0.26 0.11 1.38 0.01
 02.03.13 05:00 ---- 0.27 0.11 1.37 0.01
 -------- 06:00 ---- 0.24 0.16 1.36 0.02
 -------- 07:00 ---- 0.26 0.13 1.36 0.02
 -------- 08:00 ---- 0.22 0.21 1.47 0.03
 -------- 09:00 ---- 0.22 0.20 1.40 0.04
 02.03.13 10:00 ---- 0.26 0.17 1.38 0.03
 -------- 11:00 ---- 0.25 0.18 1.36 0.03
 -------- 12:00 0.00 0.23 0.24 1.39 0.06
 -------- 13:00 0.00 0.25 0.21 1.37 0.05
 -------- 14:00 ---- 0.28 0.16 1.35 0.03
 02.03.13 15:00 0.00 0.28 0.19 1.36 0.03
 -------- 16:00 ---- 0.28 0.20 1.37 0.04
 -------- 17:00 0.00 0.27 0.22 1.36 0.05
 -------- 18:00 0.00 0.25 0.26 1.45 0.06
 -------- 19:00 0.00 0.23 0.31 1.42 0.08
 02.03.13 20:00 0.00 0.09 0.45 1.69 0.20
 -------- 21:00 0.00 0.08 0.47 1.80 0.17
 -------- 22:00 0.01 0.05 0.50 1.82 0.26
 -------- 23:00 0.01 0.03 0.50 2.02 0.42
 -------- 00:00 0.01 0.03 0.47 2.01 0.41
 03.03.13 01:00 0.01 0.03 0.44 2.26 0.39
 -------- 02:00 0.01 0.03 0.41 2.12 0.24
 -------- 03:00 0.00 0.03 0.36 1.74 0.14
 -------- 04:00 0.00 0.02 0.36 1.82 0.17
 -------- 05:00 0.00 0.03 0.32 1.68 0.12
 03.03.13 06:00 0.00 0.02 0.36 1.79 0.25
 -------- 07:00 0.01 0.02 0.37 1.81 0.36
 -------- 08:00 0.01 0.02 0.41 2.09 0.38
 -------- 09:00 0.01 0.02 0.46 1.85 0.29
 -------- 10:00 0.01 0.03 0.48 1.75 0.28
 03.03.13 11:00 0.01 0.05 0.46 1.74 0.24
 -------- 12:00 0.00 0.08 0.42 1.71 0.21
 -------- 13:00 0.00 0.10 0.42 1.56 0.17
 -------- 14:00 0.00 0.13 0.42 1.56 0.17
 -------- 15:00 0.00 0.15 0.39 1.54 0.15
 03.03.13 16:00 0.00 0.15 0.39 1.55 0.14
 -------- 17:00 0.01 0.13 0.39 1.57 0.14
 -------- 18:00 0.00 0.14 0.40 1.54 0.12
 -------- 19:00 0.00 0.12 0.38 1.56 0.11
 -------- 20:00 0.00 0.14 0.37 1.57 0.10
 03.03.13 21:00 0.00 0.16 0.34 1.53 0.08
 -------- 22:00 0.00 0.19 0.32 1.55 0.06
 -------- 23:00 0.00 0.23 0.25 1.50 0.04
 -------- 00:00 0.00 0.20 0.33 1.50 0.04
