 Date Time SO2 OZ NO2 CHX NO
 15.03.13 00:00 0.00 0.12 0.48 1.56 0.06
 -------- 01:00 0.00 0.13 0.43 1.56 0.05
 -------- 02:00 ---- 0.15 0.42 1.56 0.03
 -------- 03:00 ---- 0.15 0.40 1.55 0.03
 -------- 04:00 ---- 0.13 0.45 1.56 0.07
 15.03.13 05:00 0.00 0.08 0.50 1.58 0.10
 -------- 06:00 0.00 0.05 0.54 1.64 0.22
 -------- 07:00 0.01 0.01 0.62 1.85 0.44
 -------- 08:00 0.01 0.01 0.67 1.90 0.40
 -------- 09:00 0.00 0.01 0.58 1.82 0.22
 15.03.13 10:00 0.00 0.04 0.48 1.86 0.15
 -------- 11:00 0.00 0.10 0.38 1.92 0.08
 -------- 12:00 0.00 0.13 0.37 1.70 0.07
 -------- 13:00 0.00 0.13 0.40 1.60 0.08
 -------- 14:00 0.00 0.16 0.35 1.64 0.06
 15.03.13 15:00 ---- 0.18 0.32 1.72 0.04
 -------- 16:00 ---- 0.17 0.29 1.55 0.04
 -------- 17:00 ---- 0.18 0.30 1.55 0.06
 -------- 18:00 ---- 0.21 0.26 1.54 0.03
 -------- 19:00 ---- 0.21 0.27 1.55 0.05
 15.03.13 20:00 ---- 0.21 0.25 1.55 0.04
 -------- 21:00 ---- 0.20 0.26 1.54 0.03
 -------- 22:00 ---- 0.18 0.32 1.56 0.06
 -------- 23:00 ---- 0.17 0.31 1.55 0.04
 -------- 00:00 ---- 0.16 0.31 1.56 0.05
 16.03.13 01:00 ---- 0.12 0.34 1.58 0.04
 -------- 02:00 ---- 0.08 0.37 1.59 0.03
 -------- 03:00 ---- 0.08 0.37 1.62 0.04
 -------- 04:00 ---- 0.07 0.35 1.96 0.03
 -------- 05:00 0.00 0.04 0.43 2.01 0.08
 16.03.13 06:00 0.00 0.02 0.45 2.05 0.09
 -------- 07:00 ---- 0.02 0.42 2.04 0.06
 -------- 08:00 0.00 0.02 0.43 2.03 0.12
 -------- 09:00 0.00 0.01 0.45 2.02 0.24
 -------- 10:00 0.00 0.01 0.49 1.87 0.31
 16.03.13 11:00 0.01 0.01 0.52 1.94 0.49
 -------- 12:00 0.01 0.01 0.57 1.96 0.57
 -------- 13:00 0.01 0.08 0.50 1.67 0.18
 -------- 14:00 0.00 0.12 0.48 1.71 0.20
 -------- 15:00 0.00 0.23 0.36 1.58 0.06
 16.03.13 16:00 ---- 0.25 0.31 1.54 0.03
 -------- 17:00 ---- 0.24 0.30 1.52 0.03
 -------- 18:00 ---- 0.24 0.32 1.52 0.03
 -------- 19:00 ---- 0.23 0.32 1.54 0.05
 -------- 20:00 0.00 0.15 0.41 1.63 0.09
 16.03.13 21:00 ---- 0.17 0.42 1.61 0.09
 -------- 22:00 ---- 0.22 0.40 1.55 0.07
 -------- 23:00 ---- 0.26 0.35 1.54 0.06
