 Date Time SO2 OZ NO2 CHX NO
 30.01.13 00:00 0.00 0.01 0.40 1.59 0.12
 -------- 01:00 0.00 0.01 0.38 1.56 0.07
 -------- 02:00 0.00 0.03 0.35 1.52 0.04
 -------- 03:00 0.00 0.04 0.35 1.56 0.05
 -------- 04:00 0.00 0.01 0.39 1.60 0.05
 30.01.13 05:00 0.00 0.01 0.40 1.61 0.07
 -------- 06:00 0.00 0.01 0.40 1.68 0.14
 -------- 07:00 0.01 0.01 0.42 1.79 0.32
 -------- 08:00 0.01 ---- 0.44 1.78 0.32
 -------- 09:00 0.01 ---- 0.42 1.73 0.25
 30.01.13 10:00 0.01 0.01 0.43 1.72 0.27
 -------- 11:00 0.01 0.01 0.41 1.69 0.24
 -------- 12:00 0.01 0.01 0.43 1.74 0.27
 -------- 13:00 0.01 0.01 0.42 1.77 0.28
 -------- 14:00 0.01 0.01 0.43 1.69 0.27
 30.01.13 15:00 0.01 0.02 0.42 1.72 0.26
 -------- 16:00 0.01 0.01 0.41 1.71 0.24
 -------- 17:00 0.01 0.01 0.45 1.80 0.27
 -------- 18:00 0.01 0.01 0.43 1.82 0.21
 -------- 19:00 0.01 0.01 0.40 1.92 0.16
 30.01.13 20:00 0.01 ---- 0.41 1.75 0.17
 -------- 21:00 0.00 ---- 0.39 1.61 0.11
 -------- 22:00 0.00 0.02 0.35 1.56 0.06
 -------- 23:00 0.00 0.10 0.32 1.50 0.05
 -------- 00:00 0.00 0.19 0.26 1.46 0.02
 31.01.13 01:00 0.00 0.24 0.22 1.42 0.02
 -------- 02:00 0.00 0.26 0.21 1.40 0.02
 -------- 03:00 0.00 0.29 0.20 1.39 0.02
 -------- 04:00 0.00 0.29 0.20 1.41 0.02
 -------- 05:00 0.00 0.27 0.23 1.40 0.03
 31.01.13 06:00 0.00 0.27 0.24 1.43 0.03
 -------- 07:00 0.00 0.23 0.27 1.47 0.04
 -------- 08:00 0.00 0.17 0.29 1.50 0.09
 -------- 09:00 0.00 0.14 0.31 1.53 0.09
 -------- 10:00 0.00 0.16 0.29 1.52 0.06
 31.01.13 11:00 0.00 0.16 0.28 1.48 0.06
 -------- 12:00 0.00 0.20 0.27 1.48 0.06
 -------- 13:00 0.00 0.21 0.27 1.48 0.05
 -------- 14:00 0.00 0.26 0.27 1.47 0.05
 -------- 15:00 0.00 0.30 0.27 1.47 0.06
 31.01.13 16:00 0.00 0.32 0.28 1.48 0.05
 -------- 17:00 0.00 0.30 0.28 1.45 0.05
 -------- 18:00 0.00 0.30 0.29 1.47 0.05
 -------- 19:00 0.00 0.25 0.31 1.49 0.07
 -------- 20:00 0.00 0.27 0.29 1.47 0.07
 31.01.13 21:00 0.00 0.28 0.29 1.48 0.05
 -------- 22:00 0.00 0.30 0.26 1.46 0.04
 -------- 23:00 0.00 0.26 0.26 1.49 0.05
 -------- 00:00 0.00 0.29 0.23 1.48 0.02
