 Date Time SO2 OZ NO2 CHX NO
 10.12.12 12:00 0.00 0.01 0.22 1.73 0.18
 -------- 13:00 0.00 0.01 0.19 1.67 0.15
 -------- 14:00 0.00 0.01 0.20 1.78 0.20
 -------- 15:00 0.00 ---- 0.21 1.79 0.21
 -------- 16:00 0.00 ---- 0.19 1.78 0.20
 10.12.12 17:00 0.00 ---- 0.20 1.80 0.22
 -------- 18:00 0.00 ---- 0.21 1.74 0.16
 -------- 19:00 0.00 ---- 0.20 1.81 0.19
 -------- 20:00 0.00 ---- 0.20 1.79 0.20
 -------- 21:00 0.00 ---- 0.19 1.68 0.18
 10.12.12 22:00 0.00 0.04 0.19 1.59 0.10
 -------- 23:00 ---- 0.13 0.17 1.50 0.05
 -------- 00:00 ---- 0.20 0.14 1.49 0.04
 -------- 01:00 ---- 0.25 0.12 1.49 0.03
 -------- 02:00 ---- 0.26 0.11 1.47 0.02
 11.12.12 03:00 ---- 0.30 0.11 1.45 0.02
 -------- 04:00 ---- 0.34 0.10 1.43 0.01
 -------- 05:00 ---- 0.34 0.12 1.43 0.02
 -------- 06:00 ---- 0.33 0.13 1.42 0.02
 -------- 07:00 0.00 0.24 0.18 1.45 0.09
 11.12.12 08:00 0.00 0.19 0.21 1.50 0.10
 -------- 09:00 ---- 0.22 0.19 1.45 0.06
 -------- 10:00 ---- 0.21 0.20 1.47 0.06
 -------- 11:00 0.00 0.18 0.22 1.48 0.08
 -------- 12:00 ---- 0.23 0.19 1.44 0.05
 11.12.12 13:00 ---- 0.24 0.19 1.46 0.06
 -------- 14:00 0.00 0.25 0.19 1.49 0.08
 -------- 15:00 ---- 0.29 0.14 1.51 0.04
 -------- 16:00 0.00 0.27 0.15 1.48 0.05
 -------- 17:00 0.00 0.12 0.25 1.54 0.12
 11.12.12 18:00 0.00 0.04 0.31 1.61 0.18
 -------- 19:00 0.00 0.04 0.27 1.57 0.14
 -------- 20:00 0.00 0.06 0.28 1.54 0.12
 -------- 21:00 0.00 0.01 0.29 1.57 0.13
 -------- 22:00 0.00 0.01 0.27 1.57 0.12
 11.12.12 23:00 0.00 0.01 0.26 1.55 0.11
 -------- 00:00 0.00 0.01 0.25 1.52 0.09
 -------- 01:00 0.00 0.01 0.25 1.50 0.05
 -------- 02:00 0.00 0.01 0.24 1.50 0.04
 -------- 03:00 0.00 0.01 0.24 1.49 0.04
 12.12.12 04:00 0.00 ---- 0.23 1.48 0.04
 -------- 05:00 0.00 0.01 0.24 1.51 0.05
