 Date Time SO2 OZ NO2 CHX NO
 15.03.13 12:00 ---- 0.13 0.36 1.67 0.07
 -------- 13:00 0.00 0.13 0.40 1.60 0.08
 -------- 14:00 0.00 0.16 0.35 1.64 0.06
 -------- 15:00 ---- 0.18 0.32 1.72 0.04
 -------- 16:00 ---- 0.17 0.29 1.55 0.04
 15.03.13 17:00 ---- 0.18 0.30 1.55 0.06
 -------- 18:00 ---- 0.21 0.26 1.54 0.03
 -------- 19:00 ---- 0.21 0.27 1.55 0.05
 -------- 20:00 ---- 0.21 0.25 1.55 0.04
 -------- 21:00 ---- 0.20 0.26 1.54 0.03
 15.03.13 22:00 ---- 0.18 0.32 1.56 0.06
 -------- 23:00 ---- 0.17 0.31 1.55 0.04
 -------- 00:00 ---- 0.16 0.31 1.56 0.05
 -------- 01:00 ---- 0.12 0.34 1.58 0.04
 -------- 02:00 ---- 0.08 0.37 1.59 0.03
 16.03.13 03:00 ---- 0.08 0.37 1.62 0.04
 -------- 04:00 ---- 0.07 0.35 1.96 0.03
 -------- 05:00 0.00 0.04 0.43 2.01 0.08
 -------- 06:00 0.00 0.02 0.45 2.05 0.09
 -------- 07:00 ---- 0.02 0.42 2.04 0.06
 16.03.13 08:00 0.00 0.02 0.43 2.03 0.12
 -------- 09:00 0.00 0.01 0.45 2.02 0.24
 -------- 10:00 0.00 0.01 0.49 1.87 0.31
 -------- 11:00 0.01 0.01 0.52 1.94 0.49
 -------- 12:00 0.01 0.01 0.57 1.96 0.57
 16.03.13 13:00 0.01 0.08 0.50 1.67 0.18
 -------- 14:00 0.00 0.12 0.48 1.71 0.20
 -------- 15:00 0.00 0.23 0.36 1.58 0.06
 -------- 16:00 ---- 0.25 0.31 1.54 0.03
 -------- 17:00 ---- 0.24 0.30 1.52 0.03
 16.03.13 18:00 ---- 0.24 0.32 1.52 0.03
 -------- 19:00 ---- 0.23 0.32 1.54 0.05
 -------- 20:00 0.00 0.15 0.41 1.63 0.09
 -------- 21:00 ---- 0.17 0.42 1.61 0.09
 -------- 22:00 ---- 0.22 0.40 1.55 0.07
 16.03.13 23:00 ---- 0.26 0.35 1.54 0.06
 -------- 00:00 ---- 0.27 0.34 1.56 0.04
 -------- 01:00 ---- 0.30 0.32 1.54 0.04
 -------- 02:00 ---- 0.32 0.29 1.50 0.03
 -------- 03:00 ---- 0.31 0.28 1.49 0.02
 17.03.13 04:00 ---- 0.32 0.26 1.45 0.02
 -------- 05:00 ---- 0.33 0.26 1.45 0.02
 -------- 06:00 ---- 0.32 0.27 1.47 0.03
 -------- 07:00 ---- 0.29 0.29 1.44 0.03
 -------- 08:00 ---- 0.27 0.35 1.46 0.06
 17.03.13 09:00 ---- 0.29 0.31 1.48 0.04
 -------- 10:00 ---- 0.28 0.33 1.50 0.05
 -------- 11:00 ---- 0.26 0.36 1.47 0.06
