 Date Time SO2 OZ NO2 CHX NO
 09.12.12 12:00 0.00 0.08 0.15 1.55 0.08
 -------- 13:00 0.00 0.10 0.16 1.52 0.12
 -------- 14:00 0.00 0.14 0.15 1.49 0.09
 -------- 15:00 0.00 0.14 0.16 1.52 0.13
 -------- 16:00 0.00 0.13 0.19 1.53 0.12
 09.12.12 17:00 ---- 0.13 0.16 1.51 0.05
 -------- 18:00 0.00 0.05 0.19 1.55 0.10
 -------- 19:00 ---- 0.11 0.13 1.48 0.04
 -------- 20:00 ---- 0.15 0.13 1.47 0.03
 -------- 21:00 0.00 0.04 0.20 1.77 0.23
 09.12.12 22:00 0.01 0.02 0.20 1.82 0.35
 -------- 23:00 0.01 0.01 0.20 1.76 0.27
 -------- 00:00 0.00 0.01 0.20 1.64 0.15
 -------- 01:00 0.00 0.01 0.19 1.65 0.11
 -------- 02:00 0.00 ---- 0.19 1.64 0.07
 10.12.12 03:00 0.00 0.01 0.19 1.69 0.08
 -------- 04:00 0.00 0.01 0.20 1.76 0.12
 -------- 05:00 0.00 ---- 0.23 1.56 0.08
 -------- 06:00 0.00 ---- 0.26 1.77 0.16
 -------- 07:00 0.00 0.01 0.26 1.95 0.23
 10.12.12 08:00 0.01 0.01 0.27 2.03 0.33
 -------- 09:00 0.01 ---- 0.28 1.99 0.24
 -------- 10:00 0.01 0.01 0.26 1.96 0.26
 -------- 11:00 0.01 ---- 0.25 1.92 0.22
 -------- 12:00 0.00 0.01 0.21 1.77 0.19
 10.12.12 13:00 0.00 0.01 0.19 1.67 0.15
 -------- 14:00 0.00 0.01 0.20 1.78 0.20
 -------- 15:00 0.00 ---- 0.21 1.79 0.21
 -------- 16:00 0.00 ---- 0.19 1.78 0.20
 -------- 17:00 0.00 ---- 0.20 1.80 0.22
 10.12.12 18:00 0.00 ---- 0.21 1.74 0.16
 -------- 19:00 0.00 ---- 0.20 1.81 0.19
 -------- 20:00 0.00 ---- 0.20 1.79 0.20
 -------- 21:00 0.00 ---- 0.19 1.68 0.18
 -------- 22:00 0.00 0.04 0.19 1.59 0.10
 10.12.12 23:00 ---- 0.13 0.17 1.50 0.05
 -------- 00:00 ---- 0.20 0.14 1.49 0.04
 -------- 01:00 ---- 0.25 0.12 1.49 0.03
 -------- 02:00 ---- 0.26 0.11 1.47 0.02
 -------- 03:00 ---- 0.30 0.11 1.45 0.02
 11.12.12 04:00 ---- 0.34 0.10 1.43 0.01
 -------- 05:00 ---- 0.34 0.12 1.43 0.02
 -------- 06:00 ---- 0.33 0.13 1.42 0.02
 -------- 07:00 0.00 0.24 0.18 1.45 0.09
 -------- 08:00 0.00 0.19 0.21 1.50 0.10
 11.12.12 09:00 ---- 0.22 0.19 1.45 0.06
 -------- 10:00 ---- 0.21 0.20 1.47 0.06
 -------- 11:00 0.00 0.18 0.22 1.48 0.08
