 Date Time CO NO2 CHX NO
 13.10.12 12:00 0.08 0.13 1.49 0.03
 -------- 13:00 0.07 0.11 1.46 0.03
 -------- 14:00 0.05 0.09 1.44 0.03
 -------- 15:00 0.05 0.07 1.42 0.02
 -------- 16:00 0.05 0.09 1.43 0.02
 13.10.12 17:00 0.07 0.13 1.44 0.03
 -------- 18:00 0.11 0.17 1.46 0.03
 -------- 19:00 0.11 0.19 1.48 0.03
 -------- 20:00 0.17 0.22 1.53 0.08
 -------- 21:00 0.18 0.23 1.57 0.19
 13.10.12 22:00 0.18 0.24 1.58 0.19
 -------- 23:00 0.17 0.24 1.58 0.20
 -------- 00:00 0.12 0.23 1.55 0.13
 -------- 01:00 0.08 0.18 1.53 0.07
 -------- 02:00 0.07 0.17 1.52 0.07
 14.10.12 03:00 0.09 0.18 1.54 0.15
 -------- 04:00 0.07 0.16 1.54 0.10
 -------- 05:00 0.07 0.17 1.58 0.11
 -------- 06:00 0.09 0.16 1.69 0.17
 -------- 07:00 0.08 0.13 1.68 0.09
 14.10.12 08:00 0.12 0.14 1.77 0.18
 -------- 09:00 0.22 0.17 1.86 0.30
 -------- 10:00 0.16 0.20 1.71 0.14
 -------- 11:00 0.08 0.16 1.61 0.06
 -------- 12:00 0.03 0.10 1.59 0.02
 14.10.12 13:00 0.03 0.11 1.48 0.02
 -------- 14:00 0.05 0.13 1.51 0.02
 -------- 15:00 0.05 0.14 1.53 0.02
 -------- 16:00 0.06 0.17 1.52 0.03
 -------- 17:00 0.07 0.19 1.56 0.04
 14.10.12 18:00 0.11 0.22 1.60 0.07
 -------- 19:00 0.21 0.23 1.73 0.18
 -------- 20:00 0.14 0.25 1.68 0.09
 -------- 21:00 0.11 0.24 1.68 0.08
 -------- 22:00 0.07 0.20 1.55 0.02
 14.10.12 23:00 0.05 0.17 1.52 0.02
 -------- 00:00 0.06 0.20 1.53 0.03
 -------- 01:00 0.05 0.20 1.54 0.02
 -------- 02:00 0.04 0.17 1.54 0.02
 -------- 03:00 0.03 0.14 1.53 0.03
 15.10.12 04:00 0.06 0.19 1.64 0.07
 -------- 05:00 0.10 0.19 1.72 0.13
 -------- 06:00 0.10 0.22 1.70 0.15
 -------- 07:00 0.15 0.22 1.70 0.29
 -------- 08:00 0.26 0.23 1.79 0.40
 15.10.12 09:00 0.25 0.23 1.86 0.27
 -------- 10:00 0.29 0.25 1.99 0.23
 -------- 11:00 0.15 0.28 1.81 0.23
