 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 30.11.12 12:00 0.03 0.15 0.08 0.21 ---- 0.14 0.00 0.62 ----
 -------- 13:00 0.03 0.13 0.05 0.21 0.00 0.08 0.00 0.35 ----
 -------- 14:00 0.02 0.13 0.07 0.21 ---- 0.13 0.00 0.71 ----
 -------- 15:00 0.02 0.13 0.04 0.20 ---- 0.12 0.00 0.34 ----
 -------- 16:00 0.02 0.15 0.02 0.21 0.01 0.18 0.00 1.13 ----
 30.11.12 17:00 0.03 0.15 0.03 0.22 ---- 0.16 0.00 0.54 ----
 -------- 18:00 0.07 0.15 ---- 0.23 0.01 0.23 0.00 1.35 ----
 -------- 19:00 0.02 0.11 ---- 0.23 0.00 0.09 0.00 0.43 ----
 -------- 20:00 0.02 0.15 0.01 0.25 ---- 0.15 0.00 1.26 ----
 -------- 21:00 0.01 0.07 ---- 0.23 0.01 0.11 0.00 1.30 0.00
 30.11.12 22:00 0.01 0.05 0.17 0.20 0.01 0.10 0.00 1.52 ----
 -------- 23:00 0.01 0.08 0.04 0.23 0.01 0.11 0.00 1.49 ----
 -------- 00:00 0.01 0.08 0.06 0.26 0.01 0.12 0.00 1.65 ----
 -------- 01:00 0.01 0.07 0.07 0.27 0.02 0.19 0.00 2.09 ----
