 Date Time CO NO2 CHX NO PM10
 15.04.13 00:00 0.21 0.62 1.58 0.25 0.32
 -------- 01:00 0.11 0.64 1.62 0.03 0.21
 -------- 02:00 0.09 0.56 1.64 0.01 0.15
 -------- 03:00 0.07 0.50 1.55 0.00 0.13
 -------- 04:00 0.06 0.42 1.50 ---- 0.10
 15.04.13 05:00 0.10 0.51 1.55 0.17 0.25
 -------- 06:00 0.15 0.56 1.59 0.37 0.25
 -------- 07:00 0.23 0.59 1.71 0.49 0.37
 -------- 08:00 0.25 0.63 1.79 0.49 0.80
 -------- 09:00 0.14 0.67 1.65 0.23 0.29
 15.04.13 10:00 0.15 0.58 1.65 0.16 0.30
 -------- 11:00 0.16 0.57 1.58 0.12 0.34
 -------- 12:00 0.10 0.40 1.39 0.05 0.24
 -------- 13:00 0.11 0.39 1.39 0.04 0.24
 -------- 14:00 0.12 0.44 1.42 0.05 0.22
 15.04.13 15:00 0.13 0.43 1.43 0.04 0.21
 -------- 16:00 0.08 0.29 1.36 0.01 0.17
 -------- 17:00 0.05 0.21 1.32 0.01 0.13
 -------- 18:00 0.06 0.21 1.31 0.01 0.15
 -------- 19:00 0.08 0.21 1.32 0.00 0.12
 15.04.13 20:00 0.09 0.27 1.36 0.00 0.16
 -------- 21:00 0.15 0.58 1.60 0.02 0.24
 -------- 22:00 0.17 0.75 1.64 0.03 0.29
 -------- 23:00 0.17 0.76 1.65 0.04 0.28
 -------- 00:00 0.16 0.74 1.74 0.06 0.25
 16.04.13 01:00 0.11 0.59 1.51 0.01 0.17
 -------- 02:00 0.11 0.48 1.46 0.01 0.13
 -------- 03:00 0.10 0.59 1.47 0.01 0.13
 -------- 04:00 0.08 0.49 1.48 ---- 0.13
 -------- 05:00 0.08 0.50 1.49 0.01 0.12
 16.04.13 06:00 0.06 0.37 1.47 0.02 0.12
 -------- 07:00 0.11 0.60 1.55 0.07 0.20
 -------- 08:00 0.11 0.58 1.48 0.06 0.23
 -------- 09:00 0.10 0.48 1.44 0.06 0.25
 -------- 10:00 0.08 0.37 1.43 0.03 0.20
 16.04.13 11:00 0.09 0.38 1.50 0.05 0.24
 -------- 12:00 0.09 0.27 1.42 0.03 0.20
 -------- 13:00 0.08 0.20 1.36 0.02 0.19
 -------- 14:00 0.07 0.12 1.32 0.01 0.15
 -------- 15:00 0.07 0.10 1.31 0.01 0.15
 16.04.13 16:00 0.08 0.12 1.31 0.01 0.13
 -------- 17:00 0.08 0.11 1.31 0.01 0.12
 -------- 18:00 0.09 0.13 1.31 0.01 0.12
 -------- 19:00 0.09 0.11 1.31 ---- 0.10
 -------- 20:00 0.11 0.17 1.33 0.00 0.14
 16.04.13 21:00 0.12 0.33 1.39 0.01 0.16
 -------- 22:00 0.12 0.32 1.38 0.00 0.16
 -------- 23:00 0.11 0.37 1.38 0.04 0.17
