 Date Time CO NO2 CHX NO PM10
 30.03.13 00:00 0.62 0.71 1.94 1.27 0.23
 -------- 01:00 0.64 0.76 2.13 1.53 0.26
 -------- 02:00 0.55 0.80 2.42 1.50 0.24
 -------- 03:00 0.65 0.85 2.51 1.77 0.27
 -------- 04:00 0.60 0.85 2.62 1.72 0.23
 30.03.13 05:00 0.53 0.88 2.40 1.66 0.19
 -------- 06:00 0.41 0.80 2.20 1.28 0.16
 -------- 07:00 0.46 0.81 2.16 1.34 0.14
 -------- 08:00 0.44 0.87 2.15 1.34 0.17
 -------- 09:00 0.15 0.70 1.72 0.29 0.09
 30.03.13 10:00 0.09 0.59 1.59 0.18 0.06
 -------- 11:00 0.07 0.50 1.47 0.13 0.07
 -------- 12:00 0.07 0.37 1.37 0.07 0.04
 -------- 13:00 0.06 0.23 1.35 0.03 0.05
 -------- 14:00 0.05 0.19 1.31 0.02 0.04
 30.03.13 15:00 0.04 0.21 1.34 0.02 0.04
 -------- 16:00 0.04 0.14 1.28 0.01 0.06
 -------- 17:00 0.04 0.21 1.30 0.01 0.07
 -------- 18:00 0.04 0.32 1.32 0.02 0.04
 -------- 19:00 0.04 0.45 1.33 0.02 0.05
 30.03.13 20:00 0.05 0.46 1.34 0.00 0.05
 -------- 21:00 0.06 0.41 1.34 0.00 0.06
 -------- 22:00 0.07 0.42 1.35 0.00 0.05
 -------- 23:00 0.07 0.59 1.37 0.01 0.06
 -------- 00:00 0.06 0.49 1.34 0.00 0.05
 31.03.13 01:00 0.06 0.36 1.31 0.00 0.04
 -------- 02:00 0.06 0.22 1.30 ---- 0.02
 -------- 03:00 0.04 0.18 1.30 0.00 0.02
 -------- 04:00 0.05 0.18 1.31 ---- 0.02
 -------- 05:00 0.06 0.24 1.33 0.00 0.02
 31.03.13 06:00 0.06 0.30 1.36 0.01 0.03
 -------- 07:00 0.06 0.33 1.37 0.01 0.03
 -------- 08:00 0.06 0.30 1.40 0.01 0.04
 -------- 09:00 0.07 0.23 1.35 0.01 0.04
 -------- 10:00 0.07 0.22 1.34 0.01 0.05
 31.03.13 11:00 0.06 0.18 1.32 0.01 0.04
 -------- 12:00 0.06 0.16 1.33 0.02 0.03
 -------- 13:00 0.06 0.16 1.34 0.02 0.04
 -------- 14:00 0.07 0.15 1.34 0.02 0.04
 -------- 15:00 0.07 0.14 1.33 0.02 0.03
 31.03.13 16:00 0.06 0.13 1.32 0.01 0.03
 -------- 17:00 0.07 0.15 1.33 0.02 0.04
 -------- 18:00 0.07 0.20 1.36 0.03 0.05
 -------- 19:00 0.09 0.29 1.37 0.04 0.06
 -------- 20:00 0.10 0.32 1.39 0.04 0.06
 31.03.13 21:00 0.17 0.48 1.48 0.16 0.09
 -------- 22:00 0.21 0.52 1.53 0.28 0.10
 -------- 23:00 0.16 0.48 1.51 0.16 0.08
