 Date Time CO SO2 H2S CHX PM10
 26.12.12 00:00 ---- 0.04 0.50 1.71 0.06
 -------- 01:00 ---- 0.03 0.25 1.68 0.05
 -------- 02:00 ---- 0.03 0.25 1.66 0.04
 -------- 03:00 ---- 0.03 0.25 1.66 0.05
 -------- 04:00 ---- 0.03 0.29 1.68 0.04
 26.12.12 05:00 ---- 0.03 0.33 1.67 0.05
 -------- 06:00 ---- 0.03 0.38 1.70 0.06
 -------- 07:00 0.02 0.03 0.38 1.72 0.07
 -------- 08:00 ---- 0.03 0.38 1.76 0.07
 -------- 09:00 ---- 0.04 0.38 1.78 0.06
 26.12.12 10:00 ---- 0.04 0.38 1.77 0.06
 -------- 11:00 ---- 0.06 0.50 1.79 0.05
 -------- 12:00 ---- 0.04 0.50 1.78 0.05
 -------- 13:00 ---- 0.04 0.50 1.74 0.04
 -------- 14:00 ---- 0.04 0.50 1.73 0.05
 26.12.12 15:00 ---- 0.03 0.50 1.82 0.06
 -------- 16:00 ---- 0.03 0.50 1.78 0.07
 -------- 17:00 ---- 0.03 0.50 1.77 0.08
 -------- 18:00 ---- 0.03 0.50 1.79 0.08
 -------- 19:00 0.03 0.03 0.58 1.82 0.08
 26.12.12 20:00 0.04 0.03 0.50 1.82 0.07
 -------- 21:00 0.04 0.03 0.50 1.78 0.06
 -------- 22:00 0.04 0.03 0.50 1.74 0.03
 -------- 23:00 0.03 0.03 0.50 1.70 0.03
 -------- 00:00 0.03 0.02 0.29 1.69 0.02
 27.12.12 01:00 0.02 0.02 ---- 1.65 0.03
 -------- 02:00 0.02 0.02 ---- 1.63 0.02
 -------- 03:00 0.02 0.02 ---- 1.65 0.02
 -------- 04:00 0.02 0.02 0.12 1.64 0.02
 -------- 05:00 0.02 0.02 0.12 1.68 0.02
 27.12.12 06:00 0.03 0.02 0.12 1.74 0.03
 -------- 07:00 0.04 0.01 0.12 1.74 0.02
 -------- 08:00 ---- 0.01 0.12 1.70 0.04
 -------- 09:00 ---- 0.01 0.12 1.70 0.05
 -------- 10:00 ---- 0.01 0.12 1.72 0.05
 27.12.12 11:00 ---- 0.01 0.12 1.72 0.05
 -------- 12:00 ---- 0.01 0.12 1.76 0.05
 -------- 13:00 ---- 0.01 0.12 1.74 0.04
 -------- 14:00 ---- 0.01 0.12 1.77 0.04
 -------- 15:00 ---- 0.01 0.12 1.89 0.05
 27.12.12 16:00 ---- 0.01 0.12 1.96 0.04
 -------- 17:00 ---- 0.02 0.17 1.91 0.04
 -------- 18:00 ---- 0.02 0.17 2.06 0.04
 -------- 19:00 0.04 0.02 0.33 2.05 0.05
 -------- 20:00 0.07 0.02 0.33 2.08 0.06
 27.12.12 21:00 0.10 0.03 0.38 2.13 0.08
 -------- 22:00 0.07 0.02 0.25 1.88 0.04
 -------- 23:00 0.05 0.02 0.25 1.83 0.05
