 Date Time CO H2S NO2 CHX NO
 19.09.12 00:00 0.28 0.44 0.16 2.27 0.18
 -------- 01:00 0.23 0.67 0.20 2.25 0.17
 -------- 02:00 0.20 0.75 0.16 2.26 0.16
 -------- 03:00 0.18 0.79 0.12 2.52 0.15
 -------- 04:00 0.17 1.38 0.14 2.81 0.15
 19.09.12 05:00 0.15 0.79 0.17 2.50 0.08
 -------- 06:00 0.18 0.79 0.18 4.03 0.09
 -------- 07:00 0.25 0.42 0.15 4.29 0.11
 -------- 08:00 0.11 1.29 0.20 2.99 0.09
 -------- 09:00 0.10 1.75 0.20 2.50 0.09
 19.09.12 10:00 0.06 0.12 0.19 1.71 0.03
 -------- 11:00 0.06 0.12 0.17 1.66 0.03
 -------- 12:00 0.03 0.33 0.11 1.58 0.02
 -------- 13:00 0.02 0.33 0.06 1.52 0.00
 -------- 14:00 0.02 0.21 0.06 1.51 0.00
 19.09.12 15:00 0.02 0.21 0.05 1.52 ----
 -------- 16:00 0.02 0.25 0.05 1.52 ----
 -------- 17:00 ---- 0.25 0.06 1.52 ----
 -------- 18:00 0.02 ---- 0.10 1.55 ----
 -------- 19:00 0.03 ---- 0.12 1.56 ----
 19.09.12 20:00 0.06 1.63 0.17 1.68 ----
 -------- 21:00 0.09 3.62 0.27 2.01 0.02
 -------- 22:00 0.07 1.44 0.23 1.74 0.01
 -------- 23:00 0.05 ---- 0.15 1.66 ----
 -------- 00:00 0.04 0.46 0.14 1.67 ----
 20.09.12 01:00 0.05 1.46 0.19 1.82 0.01
 -------- 02:00 0.06 1.67 0.20 2.00 0.02
 -------- 03:00 0.06 1.04 0.21 2.08 0.03
 -------- 04:00 0.06 0.33 0.21 1.93 0.02
 -------- 05:00 0.06 0.33 0.19 2.00 0.03
 20.09.12 06:00 0.07 1.92 0.21 2.37 0.12
 -------- 07:00 0.12 1.08 0.20 2.17 0.12
 -------- 08:00 0.19 0.42 0.18 1.97 0.11
 -------- 09:00 0.18 1.83 0.18 2.14 0.11
 -------- 10:00 0.14 1.54 0.16 1.87 0.05
 20.09.12 11:00 0.13 1.83 0.16 1.84 0.04
 -------- 12:00 0.11 0.12 0.12 1.65 0.02
 -------- 13:00 0.09 0.12 0.07 1.57 0.01
 -------- 14:00 0.08 0.21 0.06 1.56 0.00
 -------- 15:00 0.08 0.25 0.06 1.56 ----
 20.09.12 16:00 0.08 0.12 0.06 1.53 ----
 -------- 17:00 0.08 0.12 0.07 1.52 ----
 -------- 18:00 0.09 0.21 0.11 1.55 ----
 -------- 19:00 0.11 0.17 0.22 1.66 0.01
 -------- 20:00 0.13 1.46 0.25 1.79 0.02
 20.09.12 21:00 0.15 4.58 0.31 2.09 0.02
 -------- 22:00 0.11 ---- 0.20 1.69 0.01
 -------- 23:00 0.08 ---- 0.17 1.64 ----
