 Date Time CO H2S NO2 CHX NO
 18.09.12 00:00 0.23 0.56 0.10 8.62 0.13
 -------- 01:00 0.28 1.38 0.11 10.49 0.22
 -------- 02:00 0.27 1.62 0.10 6.27 0.20
 -------- 03:00 0.28 1.54 0.10 6.33 0.21
 -------- 04:00 0.29 2.50 0.12 5.60 0.26
 18.09.12 05:00 0.27 1.42 0.09 5.22 0.25
 -------- 06:00 0.31 0.67 0.09 4.37 0.28
 -------- 07:00 0.29 0.17 0.09 3.61 0.30
 -------- 08:00 0.27 0.67 0.10 2.95 0.30
 -------- 09:00 0.31 1.00 0.12 2.93 0.34
 18.09.12 10:00 0.39 0.67 0.19 3.07 0.48
 -------- 11:00 0.50 0.54 0.37 2.84 0.57
 -------- 12:00 0.30 0.29 0.39 2.18 0.24
 -------- 13:00 0.11 0.17 0.22 1.73 0.05
 -------- 14:00 0.06 0.17 0.12 1.55 0.01
 18.09.12 15:00 0.06 0.25 0.15 1.55 0.01
 -------- 16:00 0.06 ---- 0.15 1.54 0.01
 -------- 17:00 0.08 ---- 0.20 1.57 0.01
 -------- 18:00 0.09 0.17 0.24 1.59 0.04
 -------- 19:00 0.13 0.29 0.26 1.64 0.09
 18.09.12 20:00 0.22 0.12 0.21 1.80 0.12
 -------- 21:00 0.21 0.31 0.19 1.83 0.09
 -------- 22:00 0.21 0.92 0.19 2.15 0.14
 -------- 23:00 0.19 0.88 0.16 2.20 0.12
 -------- 00:00 0.25 0.46 0.16 2.26 0.16
 19.09.12 01:00 0.23 0.67 0.20 2.25 0.17
 -------- 02:00 0.20 0.75 0.16 2.26 0.16
 -------- 03:00 0.18 0.79 0.12 2.52 0.15
 -------- 04:00 0.17 1.38 0.14 2.81 0.15
 -------- 05:00 0.15 0.79 0.17 2.50 0.08
 19.09.12 06:00 0.18 0.79 0.18 4.03 0.09
 -------- 07:00 0.25 0.42 0.15 4.29 0.11
 -------- 08:00 0.11 1.29 0.20 2.99 0.09
 -------- 09:00 0.10 1.75 0.20 2.50 0.09
 -------- 10:00 0.06 0.12 0.19 1.71 0.03
 19.09.12 11:00 0.06 0.12 0.17 1.66 0.03
 -------- 12:00 0.03 0.33 0.11 1.58 0.02
 -------- 13:00 0.02 0.33 0.06 1.52 0.00
 -------- 14:00 0.02 0.21 0.06 1.51 0.00
 -------- 15:00 0.02 0.21 0.05 1.52 ----
 19.09.12 16:00 0.02 0.25 0.05 1.52 ----
 -------- 17:00 ---- 0.25 0.06 1.52 ----
 -------- 18:00 0.02 ---- 0.10 1.55 ----
 -------- 19:00 0.03 ---- 0.12 1.56 ----
 -------- 20:00 0.06 1.63 0.17 1.68 ----
 19.09.12 21:00 0.09 3.62 0.27 2.01 0.02
 -------- 22:00 0.07 1.44 0.23 1.74 0.01
 -------- 23:00 0.05 ---- 0.15 1.66 ----
