 Date Time CO SO2 H2S CHX PM10
 25.12.12 12:00 0.04 0.03 0.38 1.71 0.05
 -------- 13:00 0.04 0.04 0.46 1.73 0.05
 -------- 14:00 0.04 0.05 0.58 1.73 0.05
 -------- 15:00 0.04 0.06 0.67 1.73 0.06
 -------- 16:00 0.04 0.06 0.83 1.72 0.06
 25.12.12 17:00 0.04 0.06 0.88 1.73 0.07
 -------- 18:00 0.06 0.06 0.88 1.73 0.06
 -------- 19:00 0.04 0.06 1.00 1.74 0.06
 -------- 20:00 0.02 0.06 0.92 1.73 0.07
 -------- 21:00 0.02 0.06 0.88 1.72 0.06
 25.12.12 22:00 0.02 0.06 0.88 1.72 0.08
 -------- 23:00 ---- 0.05 0.92 1.70 0.08
 -------- 00:00 ---- 0.04 0.50 1.71 0.06
 -------- 01:00 ---- 0.03 0.25 1.68 0.05
 -------- 02:00 ---- 0.03 0.25 1.66 0.04
 26.12.12 03:00 ---- 0.03 0.25 1.66 0.05
 -------- 04:00 ---- 0.03 0.29 1.68 0.04
 -------- 05:00 ---- 0.03 0.33 1.67 0.05
 -------- 06:00 ---- 0.03 0.38 1.70 0.06
 -------- 07:00 0.02 0.03 0.38 1.72 0.07
 26.12.12 08:00 ---- 0.03 0.38 1.76 0.07
 -------- 09:00 ---- 0.04 0.38 1.78 0.06
 -------- 10:00 ---- 0.04 0.38 1.77 0.06
 -------- 11:00 ---- 0.06 0.50 1.79 0.05
 -------- 12:00 ---- 0.04 0.50 1.78 0.05
 26.12.12 13:00 ---- 0.04 0.50 1.74 0.04
 -------- 14:00 ---- 0.04 0.50 1.73 0.05
 -------- 15:00 ---- 0.03 0.50 1.82 0.06
 -------- 16:00 ---- 0.03 0.50 1.78 0.07
 -------- 17:00 ---- 0.03 0.50 1.77 0.08
 26.12.12 18:00 ---- 0.03 0.50 1.79 0.08
 -------- 19:00 0.03 0.03 0.58 1.82 0.08
 -------- 20:00 0.04 0.03 0.50 1.82 0.07
 -------- 21:00 0.04 0.03 0.50 1.78 0.06
 -------- 22:00 0.04 0.03 0.50 1.74 0.03
 26.12.12 23:00 0.03 0.03 0.50 1.70 0.03
 -------- 00:00 0.03 0.02 0.29 1.69 0.02
 -------- 01:00 0.02 0.02 ---- 1.65 0.03
 -------- 02:00 0.02 0.02 ---- 1.63 0.02
 -------- 03:00 0.02 0.02 ---- 1.65 0.02
 27.12.12 04:00 0.02 0.02 0.12 1.64 0.02
 -------- 05:00 0.02 0.02 0.12 1.68 0.02
 -------- 06:00 0.03 0.02 0.12 1.74 0.03
 -------- 07:00 0.04 0.01 0.12 1.74 0.02
 -------- 08:00 ---- 0.01 0.12 1.70 0.04
 27.12.12 09:00 ---- 0.01 0.12 1.70 0.05
 -------- 10:00 ---- 0.01 0.12 1.72 0.05
 -------- 11:00 ---- 0.01 0.12 1.72 0.05
