 Date Time CO OZ NO2 CHX NO
 18.09.12 12:00 0.36 0.05 0.37 1.92 0.40
 -------- 13:00 0.29 0.10 0.25 1.84 0.19
 -------- 14:00 0.23 0.14 0.22 1.72 0.11
 -------- 15:00 0.21 0.15 0.21 1.67 0.11
 -------- 16:00 0.19 0.14 0.22 1.64 0.11
 18.09.12 17:00 0.18 0.14 0.21 1.60 0.07
 -------- 18:00 0.16 0.16 0.20 1.59 0.06
 -------- 19:00 0.16 0.12 0.19 1.58 0.03
 -------- 20:00 0.21 0.04 0.26 1.58 0.24
 -------- 21:00 0.30 0.04 0.28 1.62 0.40
 18.09.12 22:00 0.43 0.05 0.32 1.69 0.47
 -------- 23:00 0.40 0.04 0.27 1.72 0.33
 -------- 00:00 0.35 0.04 0.25 1.71 0.29
 -------- 01:00 0.36 0.04 0.23 1.71 0.40
 -------- 02:00 0.37 0.04 0.23 1.79 0.50
 19.09.12 03:00 0.34 0.04 0.23 1.82 0.36
 -------- 04:00 0.32 0.04 0.23 1.85 0.38
 -------- 05:00 0.32 0.04 0.21 1.91 0.38
 -------- 06:00 0.32 0.04 0.26 1.99 0.49
 -------- 07:00 0.39 0.04 0.29 2.02 0.66
 19.09.12 08:00 0.43 0.04 0.26 2.06 0.46
 -------- 09:00 0.41 0.04 0.25 2.04 0.34
 -------- 10:00 0.36 0.04 0.28 1.94 0.31
 -------- 11:00 0.33 0.05 0.28 1.92 0.26
 -------- 12:00 0.28 0.10 0.28 1.86 0.19
 19.09.12 13:00 0.23 0.14 0.26 1.75 0.15
 -------- 14:00 0.19 0.21 0.23 1.65 0.10
 -------- 15:00 0.19 0.23 0.23 1.58 0.09
 -------- 16:00 0.19 0.19 0.27 1.55 0.12
 -------- 17:00 0.17 0.24 0.22 1.53 0.08
 19.09.12 18:00 0.17 0.19 0.25 1.53 0.08
 -------- 19:00 0.21 0.10 0.31 1.56 0.09
 -------- 20:00 0.24 0.05 0.33 1.60 0.14
 -------- 21:00 0.28 0.04 0.33 1.65 0.21
 -------- 22:00 0.34 0.04 0.33 1.65 0.21
 19.09.12 23:00 0.35 0.04 0.30 1.66 0.26
 -------- 00:00 0.31 0.04 0.27 1.65 0.17
 -------- 01:00 0.27 0.04 0.25 1.65 0.14
 -------- 02:00 0.25 0.04 0.24 1.63 0.12
 -------- 03:00 0.22 0.06 0.20 1.61 0.10
 20.09.12 04:00 0.20 0.04 0.21 1.60 0.16
 -------- 05:00 0.20 0.05 0.20 1.62 0.18
 -------- 06:00 0.21 0.05 0.20 1.63 0.20
 -------- 07:00 0.24 0.05 0.22 1.64 0.24
 -------- 08:00 0.29 0.05 0.24 1.71 0.27
 20.09.12 09:00 0.33 0.05 0.29 1.80 0.28
 -------- 10:00 0.29 0.06 0.30 1.85 0.23
 -------- 11:00 0.25 0.09 0.25 1.80 0.15
