 Date Time CO OZ NO2 CHX NO
 01.11.12 12:00 ---- 0.11 0.14 1.58 0.13
 -------- 13:00 ---- 0.09 0.15 1.58 0.16
 -------- 14:00 ---- 0.10 0.15 1.59 0.17
 -------- 15:00 ---- 0.09 0.16 1.60 0.18
 -------- 16:00 ---- 0.09 0.15 1.60 0.15
 01.11.12 17:00 ---- 0.07 0.16 1.59 0.15
 -------- 18:00 ---- 0.07 0.15 1.59 0.13
 -------- 19:00 ---- 0.09 0.14 1.59 0.11
 -------- 20:00 ---- 0.06 0.14 1.60 0.15
 -------- 21:00 ---- 0.06 0.15 1.63 0.24
 01.11.12 22:00 ---- 0.06 0.13 1.62 0.21
 -------- 23:00 ---- 0.06 0.13 1.61 0.18
 -------- 00:00 ---- 0.06 0.12 1.60 0.16
 -------- 01:00 ---- 0.07 0.12 1.58 0.15
 -------- 02:00 ---- 0.09 0.12 1.56 0.12
 02.11.12 03:00 ---- 0.10 0.12 1.55 0.10
 -------- 04:00 ---- 0.06 0.12 1.54 0.12
 -------- 05:00 ---- 0.07 0.11 1.53 0.14
 -------- 06:00 ---- 0.06 0.12 1.53 0.17
 -------- 07:00 ---- 0.06 0.12 1.55 0.20
 02.11.12 08:00 ---- 0.06 0.14 1.56 0.22
 -------- 09:00 ---- 0.07 0.13 1.57 0.20
 -------- 10:00 ---- 0.08 0.14 1.58 0.19
 -------- 11:00 ---- 0.08 0.15 1.59 0.20
 -------- 12:00 0.37 0.07 0.17 1.54 0.13
 02.11.12 13:00 0.30 0.08 0.17 1.56 0.11
 -------- 14:00 0.39 0.07 0.18 1.56 0.14
 -------- 15:00 0.44 0.08 0.17 1.54 0.11
 -------- 16:00 0.48 0.08 0.18 1.54 0.14
 -------- 17:00 0.50 0.08 0.17 1.53 0.08
 02.11.12 18:00 0.47 0.10 0.15 1.51 0.05
 -------- 19:00 0.45 0.12 0.13 1.50 0.06
 -------- 20:00 0.45 0.12 0.12 1.48 0.07
 -------- 21:00 0.47 0.10 0.13 1.48 0.11
 -------- 22:00 0.49 0.14 0.11 1.48 0.08
 02.11.12 23:00 0.45 0.14 0.12 1.47 0.08
 -------- 00:00 0.44 0.15 0.11 1.46 0.06
 -------- 01:00 0.42 0.16 0.10 1.45 0.05
 -------- 02:00 0.43 0.17 0.09 1.44 0.05
 -------- 03:00 0.43 0.19 0.08 1.45 0.05
 03.11.12 04:00 0.43 0.19 0.07 1.45 0.04
 -------- 05:00 0.45 0.16 0.08 1.44 0.05
 -------- 06:00 0.47 0.13 0.10 1.44 0.06
 -------- 07:00 0.53 0.10 0.12 1.45 0.09
 -------- 08:00 0.57 0.09 0.13 1.45 0.11
 03.11.12 09:00 0.63 0.08 0.14 1.47 0.13
 -------- 10:00 0.83 0.07 0.17 1.48 0.15
 -------- 11:00 0.78 0.09 0.16 1.50 0.12
