 Date Time CO OZ NO2 CHX NO
 17.09.12 12:00 0.18 0.12 0.19 1.60 0.10
 -------- 13:00 0.17 0.17 0.15 1.56 0.09
 -------- 14:00 0.14 0.19 0.14 1.54 0.08
 -------- 15:00 0.14 0.17 0.16 1.51 0.07
 -------- 16:00 0.13 0.24 0.13 1.50 0.04
 17.09.12 17:00 0.13 0.25 0.12 1.48 0.03
 -------- 18:00 0.12 0.23 0.12 1.47 0.02
 -------- 19:00 0.13 0.15 0.15 1.47 0.01
 -------- 20:00 0.18 0.06 0.20 1.50 0.13
 -------- 21:00 0.39 0.05 0.27 1.60 0.66
 17.09.12 22:00 0.55 0.05 0.31 1.80 0.86
 -------- 23:00 0.70 0.05 0.30 1.97 1.04
 -------- 00:00 0.83 0.05 0.27 2.22 1.19
 -------- 01:00 0.81 0.04 0.22 2.36 1.00
 -------- 02:00 0.73 0.04 0.20 2.42 0.79
 18.09.12 03:00 0.66 0.04 0.20 2.42 0.70
 -------- 04:00 0.57 0.04 0.24 2.35 0.63
 -------- 05:00 0.48 0.04 0.22 2.26 0.51
 -------- 06:00 0.44 0.04 0.24 2.18 0.55
 -------- 07:00 0.35 0.04 0.24 2.10 0.29
 18.09.12 08:00 0.29 0.04 0.22 2.00 0.15
 -------- 09:00 0.29 0.04 0.23 1.90 0.17
 -------- 10:00 0.24 0.04 0.27 1.84 0.14
 -------- 11:00 0.31 0.04 0.33 1.86 0.37
 -------- 12:00 0.35 0.05 0.37 1.91 0.40
 18.09.12 13:00 0.29 0.10 0.25 1.84 0.19
 -------- 14:00 0.23 0.14 0.22 1.72 0.11
 -------- 15:00 0.21 0.15 0.21 1.67 0.11
 -------- 16:00 0.19 0.14 0.22 1.64 0.11
 -------- 17:00 0.18 0.14 0.21 1.60 0.07
 18.09.12 18:00 0.16 0.16 0.20 1.59 0.06
 -------- 19:00 0.16 0.12 0.19 1.58 0.03
 -------- 20:00 0.21 0.04 0.26 1.58 0.24
 -------- 21:00 0.30 0.04 0.28 1.62 0.40
 -------- 22:00 0.43 0.05 0.32 1.69 0.47
 18.09.12 23:00 0.40 0.04 0.27 1.72 0.33
 -------- 00:00 0.35 0.04 0.25 1.71 0.29
 -------- 01:00 0.36 0.04 0.23 1.71 0.40
 -------- 02:00 0.37 0.04 0.23 1.79 0.50
 -------- 03:00 0.34 0.04 0.23 1.82 0.36
 19.09.12 04:00 0.32 0.04 0.23 1.85 0.38
 -------- 05:00 0.32 0.04 0.21 1.91 0.38
 -------- 06:00 0.32 0.04 0.26 1.99 0.49
 -------- 07:00 0.39 0.04 0.29 2.02 0.66
 -------- 08:00 0.43 0.04 0.26 2.06 0.46
 19.09.12 09:00 0.41 0.04 0.25 2.04 0.34
 -------- 10:00 0.36 0.04 0.28 1.94 0.31
 -------- 11:00 0.33 0.05 0.28 1.92 0.26
