 Date Time CO OZ NO2 CHX NO
 27.10.12 12:00 ---- 0.22 0.14 1.48 0.09
 -------- 13:00 ---- 0.25 0.12 1.49 0.09
 -------- 14:00 ---- 0.24 0.13 1.49 0.09
 -------- 15:00 ---- 0.20 0.14 1.48 0.11
 -------- 16:00 ---- 0.14 0.16 1.50 0.11
 27.10.12 17:00 ---- 0.13 0.16 1.52 0.11
 -------- 18:00 ---- 0.12 0.16 1.52 0.13
 -------- 19:00 ---- 0.08 0.17 1.54 0.17
 -------- 20:00 ---- 0.06 0.18 1.56 0.20
 -------- 21:00 ---- 0.11 0.16 1.55 0.15
 27.10.12 22:00 ---- 0.11 0.16 1.53 0.15
 -------- 23:00 ---- 0.15 0.15 1.52 0.12
 -------- 00:00 ---- 0.21 0.14 1.50 0.10
 -------- 01:00 ---- 0.14 0.15 1.49 0.12
 -------- 02:00 ---- 0.22 0.12 1.50 0.09
 28.10.12 03:00 ---- 0.14 0.15 1.49 0.10
 -------- 04:00 ---- 0.17 0.15 1.49 0.09
 -------- 05:00 ---- 0.25 0.13 1.49 0.07
 -------- 06:00 ---- 0.27 0.12 1.47 0.06
 -------- 07:00 ---- 0.27 0.14 1.46 0.06
 28.10.12 08:00 ---- 0.14 0.16 1.47 0.10
 -------- 09:00 ---- 0.09 0.17 1.53 0.15
 -------- 10:00 ---- 0.07 0.17 1.55 0.19
 -------- 11:00 ---- 0.07 0.18 1.60 0.24
 -------- 12:00 ---- 0.08 0.17 1.62 0.21
 28.10.12 13:00 ---- 0.09 0.15 1.59 0.18
 -------- 14:00 ---- 0.07 0.15 1.57 0.19
 -------- 15:00 ---- 0.07 0.15 1.58 0.19
 -------- 16:00 ---- 0.06 0.15 1.60 0.24
 -------- 17:00 ---- 0.06 0.16 1.65 0.29
 28.10.12 18:00 ---- 0.06 0.16 1.70 0.32
 -------- 19:00 ---- 0.06 0.17 1.74 0.35
 -------- 20:00 ---- 0.06 0.17 1.79 0.40
 -------- 21:00 ---- 0.06 0.15 1.84 0.43
 -------- 22:00 ---- 0.06 0.13 1.87 0.44
 28.10.12 23:00 ---- 0.06 0.14 1.88 0.44
 -------- 00:00 ---- 0.06 0.14 1.87 0.29
 -------- 01:00 ---- 0.06 0.14 1.86 0.24
 -------- 02:00 ---- 0.06 0.13 1.82 0.16
 -------- 03:00 ---- 0.07 0.11 1.70 0.10
 29.10.12 04:00 ---- 0.12 0.10 1.59 0.07
 -------- 05:00 ---- 0.12 0.10 1.55 0.07
 -------- 06:00 ---- 0.09 0.12 1.53 0.09
 -------- 07:00 ---- 0.08 0.13 1.53 0.13
 -------- 08:00 ---- 0.09 0.13 1.52 0.12
 29.10.12 09:00 ---- 0.10 0.13 1.51 0.11
 -------- 10:00 ---- 0.11 0.14 1.51 0.12
 -------- 11:00 ---- 0.13 0.16 1.51 0.12
