 Date Time CO NO2 CHX NO
 14.02.13 12:00 0.12 0.32 1.48 0.06
 -------- 13:00 0.10 0.26 1.45 0.03
 -------- 14:00 0.10 0.26 1.46 0.03
 -------- 15:00 0.10 0.29 1.47 0.04
 -------- 16:00 0.09 0.30 1.45 0.03
 14.02.13 17:00 0.09 0.35 1.47 0.03
 -------- 18:00 0.09 0.37 1.47 0.02
 -------- 19:00 0.10 0.37 1.47 0.01
 -------- 20:00 0.11 0.36 1.49 0.01
 -------- 21:00 0.13 0.38 1.52 0.03
 14.02.13 22:00 0.13 0.43 1.55 0.05
 -------- 23:00 0.13 0.44 1.58 0.06
 -------- 00:00 0.10 0.39 1.73 0.04
 -------- 01:00 0.11 0.42 1.83 0.04
 -------- 02:00 0.12 0.44 1.79 0.07
 15.02.13 03:00 0.13 0.42 1.75 0.07
 -------- 04:00 0.12 0.42 1.72 0.08
 -------- 05:00 0.10 0.41 1.71 0.06
 -------- 06:00 0.09 0.38 1.65 0.03
 -------- 07:00 0.11 0.41 1.74 0.06
 15.02.13 08:00 0.13 0.43 1.77 0.10
 -------- 09:00 0.16 0.46 1.87 0.13
 -------- 10:00 0.18 0.45 1.64 0.17
 -------- 11:00 0.18 0.45 1.61 0.18
 -------- 12:00 0.20 0.45 1.61 0.22
 15.02.13 13:00 0.15 0.39 1.53 0.12
 -------- 14:00 0.13 0.39 1.54 0.11
 -------- 15:00 0.14 0.43 1.59 0.14
 -------- 16:00 0.15 0.46 1.60 0.13
 -------- 17:00 0.12 0.42 1.54 0.07
 15.02.13 18:00 0.09 0.40 1.50 0.03
 -------- 19:00 0.09 0.36 1.48 0.01
 -------- 20:00 0.10 0.42 1.54 0.02
 -------- 21:00 0.10 0.41 1.60 0.04
 -------- 22:00 0.14 0.50 1.79 0.11
 15.02.13 23:00 0.16 0.50 1.81 0.13
 -------- 00:00 0.14 0.50 1.81 0.15
 -------- 01:00 0.20 0.49 1.86 0.19
 -------- 02:00 0.19 0.50 1.80 0.20
 -------- 03:00 0.16 0.49 1.68 0.16
 16.02.13 04:00 0.17 0.47 1.37 0.20
 -------- 05:00 0.24 0.51 0.03 0.37
 -------- 06:00 0.24 0.50 ---- 0.37
 -------- 07:00 0.25 0.50 ---- 0.37
 -------- 08:00 0.25 0.48 ---- 0.35
 16.02.13 09:00 0.19 0.49 ---- 0.23
 -------- 10:00 0.20 0.51 ---- 0.27
 -------- 11:00 0.24 0.52 ---- 0.32
