 Date Time CO NO2 CHX NO
 29.09.12 12:00 0.05 0.10 1.35 0.01
 -------- 13:00 0.07 0.11 1.35 0.01
 -------- 14:00 0.07 0.11 1.35 0.01
 -------- 15:00 0.08 0.11 1.36 0.01
 -------- 16:00 0.07 0.11 1.36 0.01
 29.09.12 17:00 0.11 0.12 1.37 0.01
 -------- 18:00 0.09 0.16 1.37 0.01
 -------- 19:00 0.10 0.19 1.38 0.01
 -------- 20:00 0.11 0.22 1.41 0.01
 -------- 21:00 0.13 0.28 1.47 0.02
 29.09.12 22:00 0.16 0.34 1.51 0.05
 -------- 23:00 0.18 0.36 1.56 0.09
 -------- 00:00 0.16 0.36 1.58 0.12
 -------- 01:00 0.13 0.34 1.51 0.05
 -------- 02:00 0.12 0.33 1.54 0.06
 30.09.12 03:00 0.13 0.31 1.57 0.06
 -------- 04:00 0.13 0.30 1.59 0.06
 -------- 05:00 0.11 0.28 1.61 0.04
 -------- 06:00 0.10 0.27 1.55 0.03
 -------- 07:00 0.09 0.26 1.53 0.02
 30.09.12 08:00 0.07 0.21 1.48 0.02
 -------- 09:00 0.09 0.23 1.49 0.03
 -------- 10:00 0.11 0.28 1.58 0.11
 -------- 11:00 0.10 0.27 1.60 0.08
 -------- 12:00 0.09 0.21 1.44 0.04
 30.09.12 13:00 0.09 0.19 1.42 0.01
 -------- 14:00 0.08 0.17 1.38 0.01
 -------- 15:00 0.07 0.14 1.38 0.01
 -------- 16:00 0.07 0.14 1.39 0.01
 -------- 17:00 0.07 0.19 1.41 0.02
 30.09.12 18:00 0.09 0.26 1.41 0.02
 -------- 19:00 0.08 0.25 1.40 0.02
 -------- 20:00 0.08 0.25 1.43 0.03
 -------- 21:00 0.08 0.26 1.46 0.02
 -------- 22:00 0.05 0.18 1.40 0.01
 30.09.12 23:00 0.04 0.13 1.37 0.01
 -------- 00:00 0.03 0.12 1.36 0.01
 -------- 01:00 0.03 0.10 1.35 0.01
 -------- 02:00 0.03 0.09 1.35 0.00
 -------- 03:00 0.03 0.08 1.34 0.00
 01.10.12 04:00 0.05 0.05 1.33 0.00
 -------- 05:00 0.04 0.05 1.33 0.00
 -------- 06:00 0.05 0.07 1.33 0.00
 -------- 07:00 0.06 0.09 1.33 0.00
 -------- 08:00 0.06 0.12 1.35 0.01
 01.10.12 09:00 0.07 0.14 1.36 0.01
 -------- 10:00 0.08 0.11 1.34 0.01
 -------- 11:00 0.08 0.09 1.34 0.01
