 Date Time CO SO2 H2S NO2 CHX NO
 19.10.12 00:00 0.04 0.02 0.25 0.10 1.48 0.06
 -------- 01:00 0.02 0.02 0.12 0.10 1.48 0.07
 -------- 02:00 0.03 0.02 0.38 0.09 1.50 0.06
 -------- 03:00 0.02 0.01 0.31 0.09 1.50 0.05
 -------- 04:00 ---- 0.01 0.33 0.07 1.49 0.05
 19.10.12 05:00 0.02 0.02 0.62 0.07 1.56 0.06
 -------- 06:00 0.03 0.01 0.54 0.10 1.59 0.07
 -------- 07:00 0.09 0.02 0.62 0.09 1.64 0.16
 -------- 08:00 0.14 0.02 0.50 0.12 1.77 0.26
 -------- 09:00 0.18 0.02 0.21 0.13 1.85 0.30
 19.10.12 10:00 0.19 0.03 0.75 0.14 1.74 0.33
 -------- 11:00 0.10 0.03 0.54 0.14 1.60 0.20
 -------- 12:00 0.05 0.02 0.29 0.15 1.52 0.12
 -------- 13:00 0.07 0.02 0.79 0.14 1.59 0.17
 -------- 14:00 0.06 0.02 0.54 0.15 1.55 0.14
 19.10.12 15:00 0.05 0.02 0.21 0.17 1.55 0.10
 -------- 16:00 0.03 0.02 0.29 0.16 1.50 0.08
 -------- 17:00 0.03 0.03 1.33 0.15 1.48 0.06
 -------- 18:00 0.03 0.02 0.92 0.16 1.45 0.06
 -------- 19:00 0.05 0.02 0.58 0.20 1.47 0.09
 19.10.12 20:00 0.07 0.01 0.25 0.19 1.47 0.07
 -------- 21:00 0.10 0.02 0.29 0.19 1.49 0.10
 -------- 22:00 0.05 0.02 0.29 0.15 1.45 0.07
 -------- 23:00 0.02 0.01 0.25 0.13 1.41 0.03
 -------- 00:00 0.02 0.01 0.12 0.12 1.41 0.03
 20.10.12 01:00 ---- 0.02 0.25 0.10 1.37 0.02
 -------- 02:00 ---- 0.01 0.19 0.07 1.36 0.01
 -------- 03:00 ---- 0.01 0.17 0.07 1.36 0.01
 -------- 04:00 ---- 0.01 1.08 0.08 1.36 0.01
 -------- 05:00 ---- 0.02 5.17 0.07 1.38 0.01
 20.10.12 06:00 ---- 0.01 3.17 0.12 1.37 0.02
