 Date Time CO SO2 H2S NO2 NO
 30.09.12 00:00 0.20 0.01 0.25 0.22 0.19
 -------- 01:00 0.17 0.01 0.19 0.21 0.15
 -------- 02:00 0.15 0.01 0.44 0.20 0.13
 -------- 03:00 0.13 0.01 0.58 0.18 0.10
 -------- 04:00 0.11 0.01 0.54 0.17 0.08
 30.09.12 05:00 0.10 0.01 0.21 0.16 0.07
 -------- 06:00 0.09 0.01 0.21 0.14 0.07
 -------- 07:00 0.12 ---- 0.12 0.14 0.13
 -------- 08:00 0.10 0.02 0.29 0.14 0.11
 -------- 09:00 0.05 0.02 0.33 0.15 0.08
 30.09.12 10:00 0.03 0.01 0.50 0.12 0.06
 -------- 11:00 0.02 0.01 0.50 0.10 0.04
 -------- 12:00 0.02 0.01 0.38 0.10 0.03
 -------- 13:00 0.02 0.01 0.25 0.12 0.02
 -------- 14:00 0.03 0.03 0.75 0.12 0.03
 30.09.12 15:00 ---- 0.01 ---- 0.09 0.02
 -------- 16:00 ---- 0.01 0.75 0.09 0.02
 -------- 17:00 0.04 0.01 0.25 0.14 0.03
 -------- 18:00 0.03 0.00 0.33 0.13 0.03
 -------- 19:00 ---- 0.00 0.29 0.09 0.02
 30.09.12 20:00 0.05 0.00 0.21 0.12 0.03
 -------- 21:00 0.07 0.01 0.21 0.13 0.03
 -------- 22:00 0.03 0.01 0.33 0.08 0.01
 -------- 23:00 ---- 0.02 1.08 0.05 0.00
 -------- 00:00 ---- 0.02 0.62 0.04 0.00
 01.10.12 01:00 ---- 0.02 0.42 0.02 0.01
 -------- 02:00 ---- 0.01 0.50 ---- 0.00
 -------- 03:00 ---- 0.00 ---- ---- 0.00
 -------- 04:00 ---- 0.00 ---- ---- 0.00
 -------- 05:00 ---- ---- 0.12 ---- 0.00
 01.10.12 06:00 ---- 0.01 0.31 0.01 0.00
 -------- 07:00 ---- 0.01 0.54 0.02 0.00
 -------- 08:00 0.02 0.02 0.42 0.03 0.01
 -------- 09:00 0.02 ---- ---- 0.04 0.01
 -------- 10:00 ---- 0.01 ---- 0.05 0.01
 01.10.12 11:00 ---- 0.01 0.12 0.03 0.01
 -------- 12:00 ---- 0.01 0.38 0.02 0.01
 -------- 13:00 ---- 0.01 0.38 0.02 0.01
 -------- 14:00 ---- 0.01 0.50 0.02 0.01
 -------- 15:00 ---- 0.01 ---- 0.02 0.01
 01.10.12 16:00 ---- 0.01 0.38 0.03 0.01
 -------- 17:00 ---- 0.01 0.19 0.06 0.01
 -------- 18:00 ---- 0.01 0.46 0.08 0.01
 -------- 19:00 0.02 0.01 0.33 0.08 0.01
 -------- 20:00 0.05 0.01 0.33 0.10 0.01
 01.10.12 21:00 0.06 0.00 0.12 0.16 0.01
 -------- 22:00 0.09 0.00 0.12 0.21 0.05
 -------- 23:00 0.11 0.01 0.12 0.23 0.08
