 Date Time CO SO2 H2S NO2 NO
 30.09.12 12:00 ---- 0.01 0.25 0.10 0.03
 -------- 13:00 0.02 0.01 0.25 0.12 0.02
 -------- 14:00 0.03 0.03 0.75 0.12 0.03
 -------- 15:00 ---- 0.01 ---- 0.09 0.02
 -------- 16:00 ---- 0.01 0.75 0.09 0.02
 30.09.12 17:00 0.04 0.01 0.25 0.14 0.03
 -------- 18:00 0.03 0.00 0.33 0.13 0.03
 -------- 19:00 ---- 0.00 0.29 0.09 0.02
 -------- 20:00 0.05 0.00 0.21 0.12 0.03
 -------- 21:00 0.07 0.01 0.21 0.13 0.03
 30.09.12 22:00 0.03 0.01 0.33 0.08 0.01
 -------- 23:00 ---- 0.02 1.08 0.05 0.00
 -------- 00:00 ---- 0.02 0.62 0.04 0.00
 -------- 01:00 ---- 0.02 0.42 0.02 0.01
 -------- 02:00 ---- 0.01 0.50 ---- 0.00
 01.10.12 03:00 ---- 0.00 ---- ---- 0.00
 -------- 04:00 ---- 0.00 ---- ---- 0.00
 -------- 05:00 ---- ---- 0.12 ---- 0.00
 -------- 06:00 ---- 0.01 0.31 0.01 0.00
 -------- 07:00 ---- 0.01 0.54 0.02 0.00
 01.10.12 08:00 0.02 0.02 0.42 0.03 0.01
 -------- 09:00 0.02 ---- ---- 0.04 0.01
 -------- 10:00 ---- 0.01 ---- 0.05 0.01
 -------- 11:00 ---- 0.01 0.12 0.03 0.01
 -------- 12:00 ---- 0.01 0.38 0.02 0.01
 01.10.12 13:00 ---- 0.01 0.38 0.02 0.01
 -------- 14:00 ---- 0.01 0.50 0.02 0.01
 -------- 15:00 ---- 0.01 ---- 0.02 0.01
 -------- 16:00 ---- 0.01 0.38 0.03 0.01
 -------- 17:00 ---- 0.01 0.19 0.06 0.01
 01.10.12 18:00 ---- 0.01 0.46 0.08 0.01
 -------- 19:00 0.02 0.01 0.33 0.08 0.01
 -------- 20:00 0.05 0.01 0.33 0.10 0.01
 -------- 21:00 0.06 0.00 0.12 0.16 0.01
 -------- 22:00 0.09 0.00 0.12 0.21 0.05
 01.10.12 23:00 0.11 0.01 0.12 0.23 0.08
 -------- 00:00 0.11 0.01 0.38 0.22 0.08
 -------- 01:00 0.07 0.02 0.54 0.19 0.05
 -------- 02:00 0.05 0.01 0.38 0.17 0.02
 -------- 03:00 0.09 0.01 0.19 0.16 0.14
 02.10.12 04:00 0.15 0.01 0.33 0.17 0.34
 -------- 05:00 0.19 0.01 0.38 0.18 0.40
 -------- 06:00 0.23 0.01 0.29 0.19 0.48
 -------- 07:00 0.35 0.01 0.19 0.19 0.65
 -------- 08:00 0.31 0.03 0.42 0.19 0.55
 02.10.12 09:00 0.27 0.03 0.38 0.18 0.50
