 Date Time CO SO2 H2S NO2 NO
 02.10.12 23:00 0.09 0.02 0.25 0.20 0.19
 -------- 00:00 0.04 0.02 0.29 0.20 0.12
 -------- 01:00 ---- 0.02 0.33 0.18 0.06
 -------- 02:00 ---- 0.01 0.25 0.16 0.07
 -------- 03:00 ---- 0.01 0.19 0.16 0.06
 03.10.12 04:00 ---- 0.00 ---- 0.14 0.04
 -------- 05:00 0.02 0.02 0.17 0.12 0.05
 -------- 06:00 0.02 0.01 0.25 0.15 0.08
 -------- 07:00 0.03 0.01 0.21 0.14 0.07
 -------- 08:00 0.05 0.02 0.25 0.14 0.07
 03.10.12 09:00 0.08 0.02 0.19 0.16 0.09
 -------- 10:00 0.04 0.01 0.25 0.16 0.09
 -------- 11:00 0.02 0.01 0.58 0.13 0.07
 -------- 12:00 0.02 0.01 0.31 0.11 0.06
 -------- 13:00 0.02 0.00 0.12 0.13 0.07
 03.10.12 14:00 0.07 0.01 0.25 0.14 0.09
 -------- 15:00 0.03 0.02 0.38 0.15 0.10
 -------- 16:00 0.03 0.01 0.25 0.17 0.11
 -------- 17:00 0.04 0.01 0.42 0.17 0.12
 -------- 18:00 0.05 0.01 0.25 0.17 0.13
 03.10.12 19:00 0.07 0.01 0.21 0.15 0.14
 -------- 20:00 0.07 0.01 0.21 0.17 0.14
 -------- 21:00 0.09 0.02 0.58 0.15 0.17
 -------- 22:00 0.07 0.01 0.38 0.15 0.18
 -------- 23:00 0.03 0.01 0.46 0.12 0.15
 04.10.12 00:00 0.08 0.00 0.25 0.11 0.24
 -------- 01:00 0.06 0.00 0.29 0.10 0.21
 -------- 02:00 0.04 0.01 0.33 0.10 0.19
 -------- 03:00 0.07 0.03 0.33 0.10 0.31
 -------- 04:00 0.04 0.01 0.31 0.07 0.24
 04.10.12 05:00 0.02 0.01 0.12 0.09 0.18
 -------- 06:00 0.03 0.01 0.44 0.08 0.20
 -------- 07:00 0.02 0.03 0.58 0.07 0.13
 -------- 08:00 0.11 0.02 0.38 0.08 0.10
 -------- 09:00 0.09 0.00 0.25 0.08 0.10
 04.10.12 10:00 0.05 0.01 0.25 0.07 0.06
 -------- 11:00 0.05 0.02 0.58 0.09 0.06
 -------- 12:00 0.07 0.01 0.58 0.14 0.08
 -------- 13:00 0.06 0.01 0.12 0.14 0.06
 -------- 14:00 0.08 0.02 0.29 0.17 0.07
 04.10.12 15:00 0.07 0.02 0.44 0.18 0.05
 -------- 16:00 0.09 0.02 0.12 0.17 0.05
 -------- 17:00 0.05 0.03 0.44 0.14 0.03
 -------- 18:00 0.05 0.01 0.21 0.19 0.04
 -------- 19:00 0.10 0.02 0.54 0.25 0.08
 04.10.12 20:00 0.15 0.02 0.58 0.25 0.12
 -------- 21:00 0.14 0.02 0.25 0.22 0.15
 -------- 22:00 0.14 0.02 0.62 0.20 0.15
