 Date Time CO SO2 H2S NO2 NO
 02.10.12 12:00 ---- 0.01 0.25 0.08 0.02
 -------- 13:00 ---- 0.02 ---- 0.09 0.03
 -------- 14:00 ---- 0.02 0.25 0.08 0.02
 -------- 15:00 ---- 0.03 0.58 0.10 0.03
 -------- 16:00 ---- 0.02 0.33 0.10 0.02
 02.10.12 17:00 ---- 0.03 0.58 0.21 0.06
 -------- 18:00 0.02 0.03 0.46 0.26 0.08
 -------- 19:00 0.04 0.03 0.21 0.24 0.16
 -------- 20:00 0.11 0.02 0.44 0.24 0.20
 -------- 21:00 0.13 0.01 0.12 0.22 0.17
 02.10.12 22:00 0.11 0.02 0.19 0.21 0.17
 -------- 23:00 0.09 0.02 0.21 0.20 0.19
 -------- 00:00 0.04 0.02 0.29 0.20 0.12
 -------- 01:00 ---- 0.02 0.33 0.18 0.06
 -------- 02:00 ---- 0.01 0.25 0.16 0.07
 03.10.12 03:00 ---- 0.01 0.19 0.16 0.06
 -------- 04:00 ---- 0.00 ---- 0.14 0.04
 -------- 05:00 0.02 0.02 0.17 0.12 0.05
 -------- 06:00 0.02 0.01 0.25 0.15 0.08
 -------- 07:00 0.03 0.01 0.21 0.14 0.07
 03.10.12 08:00 0.05 0.02 0.25 0.14 0.07
 -------- 09:00 0.08 0.02 0.19 0.16 0.09
 -------- 10:00 0.04 0.01 0.25 0.16 0.09
 -------- 11:00 0.02 0.01 0.58 0.13 0.07
 -------- 12:00 0.02 0.01 0.31 0.11 0.06
 03.10.12 13:00 0.02 0.00 0.12 0.13 0.07
 -------- 14:00 0.07 0.01 0.25 0.14 0.09
 -------- 15:00 0.03 0.02 0.38 0.15 0.10
 -------- 16:00 0.03 0.01 0.25 0.17 0.11
 -------- 17:00 0.04 0.01 0.42 0.17 0.12
 03.10.12 18:00 0.05 0.01 0.25 0.17 0.13
 -------- 19:00 0.07 0.01 0.21 0.15 0.14
 -------- 20:00 0.07 0.01 0.21 0.17 0.14
 -------- 21:00 0.09 0.02 0.58 0.15 0.17
 -------- 22:00 0.07 0.01 0.38 0.15 0.18
 03.10.12 23:00 0.03 0.01 0.46 0.12 0.15
 -------- 00:00 0.08 0.00 0.25 0.11 0.24
 -------- 01:00 0.06 0.00 0.29 0.10 0.21
 -------- 02:00 0.04 0.01 0.33 0.10 0.19
 -------- 03:00 0.07 0.03 0.33 0.10 0.31
 04.10.12 04:00 0.04 0.01 0.31 0.07 0.24
 -------- 05:00 0.02 0.01 0.12 0.09 0.18
 -------- 06:00 0.03 0.01 0.44 0.08 0.20
 -------- 07:00 0.02 0.03 0.58 0.07 0.13
 -------- 08:00 0.11 0.02 0.38 0.08 0.10
 04.10.12 09:00 0.09 0.00 0.25 0.08 0.10
 -------- 10:00 0.05 0.01 0.25 0.07 0.06
 -------- 11:00 0.05 0.02 0.58 0.09 0.06
 -------- 12:00 0.08 0.02 0.75 0.13 0.08
