 Date Time CO SO2 H2S NO2 NO
 25.09.12 12:00 0.02 0.01 0.12 0.04 0.01
 -------- 13:00 0.02 0.02 0.21 0.03 0.01
 -------- 14:00 0.02 0.01 0.21 0.03 0.01
 -------- 15:00 0.02 0.00 0.33 0.06 0.01
 -------- 16:00 0.03 0.00 0.25 0.09 0.01
 25.09.12 17:00 0.03 0.01 0.12 0.09 0.01
 -------- 18:00 0.04 0.01 ---- 0.08 0.01
 -------- 19:00 0.04 0.01 0.12 0.09 0.01
 -------- 20:00 0.04 0.01 0.25 0.12 0.01
 -------- 21:00 ---- 0.01 0.31 0.12 0.02
 25.09.12 22:00 ---- 0.01 0.38 0.13 0.02
 -------- 23:00 ---- 0.01 0.54 0.09 0.01
 -------- 00:00 ---- 0.01 0.29 0.07 0.01
 -------- 01:00 ---- 0.00 0.12 0.04 0.00
 -------- 02:00 ---- 0.01 0.25 0.03 0.00
 26.09.12 03:00 ---- 0.01 0.25 0.03 0.00
 -------- 04:00 ---- 0.02 0.25 0.06 0.01
 -------- 05:00 ---- 0.01 ---- 0.08 0.01
 -------- 06:00 ---- 0.01 0.38 0.10 0.06
 -------- 07:00 0.03 0.01 0.50 0.12 0.10
 26.09.12 08:00 0.09 0.02 0.33 0.12 0.14
 -------- 09:00 0.07 ---- 0.33 0.12 0.12
 -------- 10:00 0.02 0.01 0.12 0.09 0.06
 -------- 11:00 ---- 0.02 0.33 0.08 0.04
 -------- 12:00 ---- 0.02 0.50 0.08 0.02
 26.09.12 13:00 ---- 0.02 0.54 0.06 0.01
 -------- 14:00 ---- 0.01 0.12 0.12 0.03
 -------- 15:00 ---- 0.02 0.38 0.10 0.02
 -------- 16:00 ---- 0.02 0.54 0.08 0.01
 -------- 17:00 ---- 0.01 0.12 0.07 0.01
 26.09.12 18:00 ---- 0.01 0.12 0.12 0.02
 -------- 19:00 0.02 0.01 0.25 0.18 0.03
 -------- 20:00 0.07 0.01 0.29 0.20 0.05
 -------- 21:00 0.11 0.02 0.71 0.19 0.07
 -------- 22:00 0.11 0.01 0.21 0.17 0.08
 26.09.12 23:00 0.17 0.00 0.25 0.15 0.22
 -------- 00:00 0.45 0.01 0.58 0.19 0.78
 -------- 01:00 0.63 0.02 0.54 0.21 1.07
 -------- 02:00 0.49 0.02 0.50 0.16 0.83
 -------- 03:00 0.38 0.02 0.46 0.17 0.62
 27.09.12 04:00 0.41 0.01 0.33 0.16 0.78
 -------- 05:00 0.50 0.02 0.71 0.17 0.97
 -------- 06:00 0.43 0.01 0.46 0.15 0.73
 -------- 07:00 0.42 0.02 0.75 0.16 0.73
 -------- 08:00 0.27 0.01 0.33 0.13 0.42
 27.09.12 09:00 0.18 0.00 0.58 0.18 0.22
 -------- 10:00 0.04 0.01 0.33 0.18 0.11
 -------- 11:00 0.05 0.03 0.71 0.17 0.07
