 Date Time CO SO2 H2S NO2 NO
 18.09.12 12:00 0.03 0.02 0.19 0.20 0.09
 -------- 13:00 0.02 0.02 0.12 0.18 0.05
 -------- 14:00 ---- 0.02 0.31 0.10 0.02
 -------- 15:00 ---- 0.03 ---- 0.13 0.03
 -------- 16:00 ---- 0.02 0.46 0.13 0.02
 18.09.12 17:00 ---- 0.03 0.79 0.18 0.03
 -------- 18:00 ---- 0.02 0.62 0.14 0.01
 -------- 19:00 0.04 0.01 0.19 0.24 0.07
 -------- 20:00 0.17 0.02 0.25 0.23 0.25
 -------- 21:00 0.25 0.03 0.21 0.23 0.37
 18.09.12 22:00 0.22 0.01 0.17 0.23 0.31
 -------- 23:00 0.16 ---- ---- 0.23 0.25
 -------- 00:00 0.18 0.01 0.25 0.18 0.31
 -------- 01:00 0.15 0.02 0.62 0.18 0.34
 -------- 02:00 0.27 0.02 0.58 0.24 0.65
 19.09.12 03:00 0.17 0.02 0.50 0.19 0.39
 -------- 04:00 0.13 0.02 0.50 0.16 0.36
 -------- 05:00 0.13 0.03 0.92 0.20 0.40
 -------- 06:00 0.18 0.03 0.96 0.19 0.43
 -------- 07:00 0.15 0.02 0.54 0.17 0.31
 19.09.12 08:00 0.11 0.02 0.29 0.23 0.19
 -------- 09:00 0.10 0.03 0.58 0.23 0.21
 -------- 10:00 0.08 0.02 0.21 0.23 0.16
 -------- 11:00 0.02 0.02 0.25 0.18 0.07
 -------- 12:00 ---- 0.02 0.17 0.13 0.03
 19.09.12 13:00 ---- 0.02 0.25 0.14 0.03
 -------- 14:00 ---- 0.01 0.19 0.13 0.03
 -------- 15:00 ---- 0.02 0.25 0.19 0.03
 -------- 16:00 ---- 0.02 0.88 0.14 0.02
 -------- 17:00 ---- 0.03 0.62 0.17 0.03
 19.09.12 18:00 0.06 0.03 0.38 0.21 0.03
 -------- 19:00 0.03 0.04 0.25 0.30 0.10
 -------- 20:00 0.13 0.02 0.42 0.29 0.20
 -------- 21:00 0.18 0.03 0.54 0.28 0.23
 -------- 22:00 0.07 0.02 0.58 0.30 0.08
 19.09.12 23:00 0.05 0.02 0.21 0.28 0.08
 -------- 00:00 0.03 0.02 0.29 0.26 0.07
 -------- 01:00 0.03 0.01 ---- 0.23 0.07
 -------- 02:00 0.03 0.02 0.50 0.19 0.07
 -------- 03:00 0.02 0.02 0.54 0.21 0.07
 20.09.12 04:00 0.02 0.01 0.38 0.20 0.06
 -------- 05:00 0.03 0.01 ---- 0.23 0.11
 -------- 06:00 0.07 0.01 0.19 0.17 0.24
 -------- 07:00 0.15 0.01 0.46 0.18 0.31
 -------- 08:00 0.25 0.01 0.42 0.19 0.27
 20.09.12 09:00 0.19 0.02 0.83 0.21 0.19
 -------- 10:00 0.08 0.02 0.67 0.25 0.10
 -------- 11:00 0.04 0.02 0.12 0.22 0.07
