 Date Time CO SO2 H2S NO2 NO
 16.09.12 14:00 ---- 0.01 0.12 0.04 0.01
 -------- 15:00 ---- 0.02 0.25 0.05 0.01
 -------- 16:00 ---- 0.01 0.17 0.06 0.01
 -------- 17:00 0.10 0.01 0.31 0.04 0.01
 -------- 18:00 ---- 0.01 0.25 0.04 0.01
 16.09.12 19:00 ---- 0.02 0.29 0.07 0.01
 -------- 20:00 0.03 0.01 0.38 0.11 0.01
 -------- 21:00 0.05 0.02 ---- 0.13 0.01
 -------- 22:00 0.03 0.01 0.38 0.14 0.01
 -------- 23:00 0.04 0.02 0.75 0.15 0.01
 17.09.12 00:00 0.05 0.01 0.50 0.16 0.03
 -------- 01:00 0.05 0.01 0.33 0.15 0.02
 -------- 02:00 0.02 0.01 0.29 0.14 0.01
 -------- 03:00 0.04 0.02 0.75 0.14 0.02
 -------- 04:00 0.04 0.01 0.54 0.12 0.07
 17.09.12 05:00 0.05 0.02 0.38 0.13 0.13
 -------- 06:00 0.12 0.02 0.69 0.15 0.29
 -------- 07:00 0.27 0.00 0.19 0.20 0.60
 -------- 08:00 0.50 0.02 0.38 0.21 0.88
 -------- 09:00 0.15 0.02 0.29 0.21 0.24
 17.09.12 10:00 0.04 0.01 0.19 0.21 0.12
 -------- 11:00 ---- 0.04 0.58 0.14 0.04
 -------- 12:00 ---- 0.01 0.19 0.07 0.02
 -------- 13:00 ---- 0.01 0.17 0.07 0.01
 -------- 14:00 ---- 0.01 0.19 0.06 0.01
 17.09.12 15:00 ---- 0.01 0.12 0.06 0.01
 -------- 16:00 ---- 0.01 ---- 0.04 0.01
 -------- 17:00 ---- 0.00 0.12 0.05 0.01
 -------- 18:00 ---- 0.01 0.31 0.07 0.01
 -------- 19:00 ---- 0.01 0.25 0.12 0.01
 17.09.12 20:00 0.10 0.00 ---- 0.20 0.06
 -------- 21:00 0.72 0.02 0.38 0.25 1.01
 -------- 22:00 1.09 0.03 0.58 0.34 1.62
 -------- 23:00 0.76 0.02 0.38 0.26 1.02
 -------- 00:00 0.68 0.02 0.42 0.26 0.96
 18.09.12 01:00 0.44 0.02 0.38 0.24 0.68
 -------- 02:00 0.43 0.01 0.31 0.24 0.73
 -------- 03:00 0.27 0.02 0.75 0.21 0.45
 -------- 04:00 0.19 0.01 0.62 0.18 0.35
 -------- 05:00 0.15 0.02 0.58 0.16 0.29
 18.09.12 06:00 0.22 0.02 0.33 0.16 0.49
 -------- 07:00 0.34 0.02 0.29 0.20 0.62
 -------- 08:00 0.25 0.01 0.12 0.18 0.40
 -------- 09:00 0.29 0.01 0.12 0.18 0.43
 -------- 10:00 0.31 0.01 0.62 0.21 0.55
 18.09.12 11:00 0.15 0.02 0.38 0.19 0.28
 -------- 12:00 0.03 0.02 0.21 0.20 0.09
 -------- 13:00 0.02 0.02 0.12 0.18 0.05
