 Date Time CO SO2 H2S NO2 NO
 26.09.12 12:00 ---- 0.01 0.38 0.08 0.02
 -------- 13:00 ---- 0.02 0.54 0.06 0.01
 -------- 14:00 ---- 0.01 0.12 0.12 0.03
 -------- 15:00 ---- 0.02 0.38 0.10 0.02
 -------- 16:00 ---- 0.02 0.54 0.08 0.01
 26.09.12 17:00 ---- 0.01 0.12 0.07 0.01
 -------- 18:00 ---- 0.01 0.12 0.12 0.02
 -------- 19:00 0.02 0.01 0.25 0.18 0.03
 -------- 20:00 0.07 0.01 0.29 0.20 0.05
 -------- 21:00 0.11 0.02 0.71 0.19 0.07
 26.09.12 22:00 0.11 0.01 0.21 0.17 0.08
 -------- 23:00 0.17 0.00 0.25 0.15 0.22
 -------- 00:00 0.45 0.01 0.58 0.19 0.78
 -------- 01:00 0.63 0.02 0.54 0.21 1.07
 -------- 02:00 0.49 0.02 0.50 0.16 0.83
 27.09.12 03:00 0.38 0.02 0.46 0.17 0.62
 -------- 04:00 0.41 0.01 0.33 0.16 0.78
 -------- 05:00 0.50 0.02 0.71 0.17 0.97
 -------- 06:00 0.43 0.01 0.46 0.15 0.73
 -------- 07:00 0.42 0.02 0.75 0.16 0.73
 27.09.12 08:00 0.27 0.01 0.33 0.13 0.42
 -------- 09:00 0.18 0.00 0.58 0.18 0.22
 -------- 10:00 0.04 0.01 0.33 0.18 0.11
 -------- 11:00 0.05 0.03 0.71 0.17 0.07
 -------- 12:00 0.04 0.03 0.42 0.13 0.05
 27.09.12 13:00 ---- 0.03 ---- 0.14 0.06
 -------- 14:00 0.02 0.02 0.17 0.18 0.07
 -------- 15:00 ---- 0.02 0.12 0.19 0.06
 -------- 16:00 ---- 0.01 0.31 0.18 0.06
 -------- 17:00 0.02 0.02 0.62 0.18 0.06
 27.09.12 18:00 ---- 0.02 0.42 0.21 0.07
 -------- 19:00 ---- 0.03 0.25 0.22 0.08
 -------- 20:00 0.09 0.02 0.56 0.20 0.06
 -------- 21:00 0.09 0.03 0.88 0.20 0.05
 -------- 22:00 0.09 0.02 0.79 0.21 0.05
 27.09.12 23:00 0.07 0.02 0.33 0.18 0.04
 -------- 00:00 0.06 0.02 0.12 0.17 0.03
 -------- 01:00 0.06 0.02 0.38 0.15 0.03
 -------- 02:00 0.05 0.02 0.46 0.10 0.01
 -------- 03:00 0.04 0.02 0.50 0.07 0.01
 28.09.12 04:00 0.04 0.01 0.42 0.07 0.01
 -------- 05:00 0.05 0.01 0.12 0.12 0.02
 -------- 06:00 0.06 0.01 ---- 0.14 0.03
 -------- 07:00 0.06 0.01 ---- 0.12 0.02
 -------- 08:00 0.05 0.01 0.12 0.12 0.02
 28.09.12 09:00 0.04 0.02 0.21 0.13 0.02
 -------- 10:00 0.02 0.02 ---- 0.13 0.02
 -------- 11:00 0.02 0.03 0.25 0.11 0.03
