 Date Time CO OZ NO2 CHX NO
 31.10.12 12:00 0.07 ---- 0.16 1.54 0.04
 -------- 13:00 0.06 ---- 0.14 1.52 0.03
 -------- 14:00 0.05 ---- 0.12 1.48 0.03
 -------- 15:00 0.06 ---- 0.11 1.48 0.03
 -------- 16:00 0.05 ---- 0.08 1.46 0.03
 31.10.12 17:00 0.04 ---- 0.05 1.43 0.02
 -------- 18:00 0.05 ---- 0.04 1.42 0.02
 -------- 19:00 0.04 ---- 0.04 1.42 0.02
 -------- 20:00 0.04 ---- 0.03 1.42 0.02
 -------- 21:00 0.04 ---- 0.03 1.41 0.02
 31.10.12 22:00 0.04 ---- 0.02 1.41 0.02
 -------- 23:00 0.04 ---- 0.02 1.41 0.01
 -------- 00:00 0.04 ---- 0.02 1.40 0.01
 -------- 01:00 0.04 ---- 0.02 1.41 0.01
 -------- 02:00 0.04 ---- 0.02 1.41 0.01
 01.11.12 03:00 0.04 ---- 0.02 1.41 0.01
 -------- 04:00 0.04 ---- 0.01 1.41 0.01
 -------- 05:00 0.04 ---- 0.02 1.41 0.01
 -------- 06:00 0.05 ---- 0.04 1.41 0.01
 -------- 07:00 0.05 ---- 0.10 1.42 0.02
 01.11.12 08:00 0.06 ---- 0.11 1.43 0.02
 -------- 09:00 0.07 ---- 0.11 1.43 0.02
 -------- 10:00 0.07 ---- 0.12 1.51 0.02
 -------- 11:00 0.08 ---- 0.11 1.43 0.02
 -------- 12:00 0.09 ---- 0.11 1.44 0.03
 01.11.12 13:00 0.05 ---- 0.10 1.46 0.02
 -------- 14:00 0.07 ---- 0.12 1.46 0.02
 -------- 15:00 0.05 ---- 0.12 1.44 0.02
 -------- 16:00 0.07 ---- 0.11 1.46 0.02
 -------- 17:00 0.07 ---- 0.16 1.46 0.02
 01.11.12 18:00 0.08 ---- 0.20 1.48 0.03
 -------- 19:00 0.08 ---- 0.21 1.48 0.03
 -------- 20:00 0.07 ---- 0.18 1.49 0.02
 -------- 21:00 0.08 ---- 0.21 1.50 0.03
 -------- 22:00 0.07 ---- 0.17 1.51 0.02
 01.11.12 23:00 0.07 ---- 0.15 1.48 0.02
 -------- 00:00 0.06 ---- 0.12 1.52 0.02
 -------- 01:00 0.06 ---- 0.13 1.58 0.02
 -------- 02:00 0.06 ---- 0.09 1.49 0.01
 -------- 03:00 0.04 ---- 0.07 1.45 0.01
 02.11.12 04:00 0.04 ---- 0.05 1.43 0.01
 -------- 05:00 0.04 ---- 0.09 1.44 0.02
 -------- 06:00 0.05 ---- 0.09 1.45 0.02
 -------- 07:00 0.06 ---- 0.11 1.46 0.02
 -------- 08:00 0.08 ---- 0.17 1.51 0.03
 02.11.12 09:00 0.09 ---- 0.23 1.52 0.04
 -------- 10:00 0.09 ---- 0.23 1.51 0.05
 -------- 11:00 0.08 ---- 0.22 1.51 0.05
 -------- 12:00 0.08 ---- 0.24 1.55 0.06
