 Date Time CO SO2 NO2 CHX NO
 14.02.13 00:00 0.12 0.01 0.43 1.81 0.08
 -------- 01:00 0.11 0.01 0.40 1.63 0.04
 -------- 02:00 0.10 0.01 0.39 1.62 0.02
 -------- 03:00 0.10 0.01 0.37 1.67 0.02
 -------- 04:00 0.08 0.01 0.32 1.61 0.01
 14.02.13 05:00 0.08 0.01 0.29 1.61 0.01
 -------- 06:00 0.09 0.01 0.32 1.61 0.02
 -------- 07:00 0.11 0.01 0.31 1.58 0.03
 -------- 08:00 0.12 0.01 0.33 1.71 0.05
 -------- 09:00 0.12 0.01 0.31 1.71 0.04
 14.02.13 10:00 0.11 0.01 0.30 1.69 0.06
 -------- 11:00 0.13 0.01 0.29 1.61 0.06
 -------- 12:00 0.11 0.01 0.28 1.57 0.07
 -------- 13:00 0.10 0.01 0.28 1.59 0.06
 -------- 14:00 0.11 0.01 0.29 1.85 0.07
 14.02.13 15:00 0.10 0.00 0.24 1.66 0.04
 -------- 16:00 0.09 0.00 0.26 1.55 0.03
 -------- 17:00 0.10 0.01 0.31 1.55 0.03
 -------- 18:00 0.14 0.01 0.42 1.63 0.09
 -------- 19:00 0.18 0.01 0.48 1.73 0.14
 14.02.13 20:00 0.20 0.01 0.47 1.74 0.19
 -------- 21:00 0.17 0.01 0.41 1.72 0.13
 -------- 22:00 0.13 0.01 0.39 1.64 0.03
 -------- 23:00 0.13 0.01 0.41 1.68 0.04
 -------- 00:00 0.13 0.01 0.41 1.70 0.04
 15.02.13 01:00 0.11 0.01 0.40 1.69 0.02
 -------- 02:00 0.12 0.01 0.41 1.73 0.06
 -------- 03:00 0.13 0.01 0.41 1.79 0.09
 -------- 04:00 0.12 0.01 0.41 1.92 0.11
 -------- 05:00 0.12 0.01 0.40 1.92 0.14
 15.02.13 06:00 0.20 0.01 0.41 1.89 0.09
 -------- 07:00 0.13 0.01 0.40 1.71 0.04
 -------- 08:00 0.11 0.01 0.38 1.62 0.03
 -------- 09:00 0.16 0.01 0.44 1.73 0.14
 -------- 10:00 0.17 0.01 0.43 1.73 0.14
 15.02.13 11:00 0.20 0.01 0.45 1.89 0.25
 -------- 12:00 0.20 0.01 0.45 1.92 0.28
 -------- 13:00 0.16 0.01 0.40 1.73 0.23
 -------- 14:00 0.11 0.01 0.32 1.63 0.10
 -------- 15:00 0.11 0.00 0.32 1.67 0.08
 15.02.13 16:00 0.12 0.01 0.31 1.67 0.06
 -------- 17:00 0.13 0.01 0.36 1.70 0.08
 -------- 18:00 0.19 0.01 0.45 1.72 0.19
 -------- 19:00 0.25 0.01 0.48 1.74 0.28
 -------- 20:00 0.20 0.01 0.44 1.73 0.23
 15.02.13 21:00 0.19 0.01 0.41 1.71 0.21
 -------- 22:00 0.19 0.01 0.44 1.85 0.20
 -------- 23:00 0.17 0.01 0.45 1.91 0.10
