 Date Time CO SO2 NO2 CHX NO
 27.12.12 00:00 0.06 0.01 0.15 1.56 0.00
 -------- 01:00 0.07 0.01 0.20 1.52 0.02
 -------- 02:00 0.06 0.01 0.18 1.48 0.01
 -------- 03:00 0.06 0.01 0.15 1.48 0.00
 -------- 04:00 0.06 0.01 0.15 1.48 0.00
 27.12.12 05:00 0.07 0.01 0.19 1.53 0.00
 -------- 06:00 0.08 0.01 0.22 1.51 0.01
 -------- 07:00 0.10 0.01 0.27 1.66 0.04
 -------- 08:00 0.12 0.01 0.28 1.60 0.06
 -------- 09:00 0.15 0.00 0.31 1.62 0.07
 27.12.12 10:00 0.15 0.01 0.33 1.67 0.09
 -------- 11:00 0.17 0.01 0.33 1.69 0.15
 -------- 12:00 0.20 0.01 0.33 1.68 0.17
 -------- 13:00 0.19 0.01 0.33 1.69 0.19
 -------- 14:00 0.21 0.01 0.35 1.75 0.25
 27.12.12 15:00 0.25 0.01 0.37 1.83 0.32
 -------- 16:00 0.27 0.01 0.36 1.88 0.34
 -------- 17:00 0.31 0.01 0.37 1.93 0.36
 -------- 18:00 0.32 0.01 0.36 1.91 0.39
 -------- 19:00 0.23 0.01 0.33 1.85 0.32
 27.12.12 20:00 0.17 0.01 0.29 2.36 0.12
 -------- 21:00 0.12 0.01 0.25 2.62 0.07
 -------- 22:00 0.11 0.01 0.23 2.42 0.05
 -------- 23:00 0.08 0.01 0.20 2.13 0.02
 -------- 00:00 0.08 0.01 0.23 1.63 0.03
 28.12.12 01:00 0.08 0.01 0.21 1.56 0.04
 -------- 02:00 0.06 0.01 0.15 1.50 0.01
 -------- 03:00 0.04 0.01 0.11 1.43 0.00
 -------- 04:00 0.04 0.01 0.10 1.45 0.00
 -------- 05:00 0.04 0.01 0.11 1.45 0.00
 28.12.12 06:00 0.06 0.01 0.14 1.46 0.01
 -------- 07:00 0.08 0.01 0.24 1.55 0.04
 -------- 08:00 ---- 0.01 0.29 1.62 0.06
 -------- 09:00 ---- 0.01 0.29 1.59 0.06
 -------- 10:00 ---- 0.01 0.29 1.55 0.07
 28.12.12 11:00 ---- 0.01 0.29 1.54 0.09
 -------- 12:00 ---- 0.01 0.26 1.52 0.06
 -------- 13:00 ---- 0.01 0.23 1.50 0.05
 -------- 14:00 ---- 0.01 0.24 1.49 0.05
 -------- 15:00 ---- 0.01 0.24 1.48 0.05
 28.12.12 16:00 ---- 0.01 0.20 1.48 0.03
 -------- 17:00 ---- 0.01 0.25 1.50 0.05
 -------- 18:00 ---- 0.01 0.22 1.48 0.03
 -------- 19:00 ---- 0.01 0.21 1.48 0.03
 -------- 20:00 ---- 0.01 0.19 1.49 0.02
 28.12.12 21:00 ---- 0.01 0.16 1.44 0.01
 -------- 22:00 ---- 0.01 0.13 1.41 0.01
 -------- 23:00 ---- 0.01 0.13 1.41 0.01
