 Date Time CO SO2 NO2 CHX NO
 30.10.12 12:00 0.08 0.02 0.17 1.51 0.03
 -------- 13:00 0.08 0.01 0.16 1.52 0.02
 -------- 14:00 0.08 0.01 0.15 1.51 0.02
 -------- 15:00 0.08 0.01 0.15 1.53 0.01
 -------- 16:00 0.09 0.01 0.18 1.50 0.01
 30.10.12 17:00 0.08 0.01 0.14 1.49 0.01
 -------- 18:00 0.08 0.01 0.14 1.48 0.01
 -------- 19:00 0.08 0.01 0.12 1.48 0.01
 -------- 20:00 0.09 0.01 0.12 1.49 0.01
 -------- 21:00 0.08 0.00 0.12 1.50 0.01
 30.10.12 22:00 0.08 0.01 0.14 1.50 0.01
 -------- 23:00 0.08 0.00 0.14 1.49 0.01
 -------- 00:00 0.08 0.00 0.15 1.50 0.01
 -------- 01:00 0.08 0.00 0.13 1.50 0.01
 -------- 02:00 0.08 0.00 0.13 1.50 0.00
 31.10.12 03:00 0.08 0.01 0.14 1.51 0.01
 -------- 04:00 0.08 0.00 0.17 1.54 0.01
 -------- 05:00 0.09 0.00 0.19 1.56 0.02
 -------- 06:00 0.14 0.00 0.23 1.57 0.09
 -------- 07:00 0.18 0.01 0.25 1.60 0.21
 31.10.12 08:00 0.19 0.01 0.25 1.65 0.20
 -------- 09:00 0.19 0.00 0.24 1.66 0.19
 -------- 10:00 0.16 0.00 0.24 1.64 0.17
 -------- 11:00 0.13 0.00 0.21 1.77 0.11
 -------- 12:00 0.12 0.00 0.19 1.78 0.07
 31.10.12 13:00 0.10 0.00 0.17 1.78 0.04
 -------- 14:00 0.10 0.00 0.18 1.71 0.05
 -------- 15:00 0.09 0.00 0.16 1.73 0.04
 -------- 16:00 0.08 0.00 0.14 1.66 0.03
 -------- 17:00 0.09 0.01 0.18 1.61 0.06
 31.10.12 18:00 0.08 0.00 0.16 1.57 0.03
 -------- 19:00 0.08 0.00 0.15 1.56 0.02
 -------- 20:00 0.07 0.00 0.17 1.57 0.04
 -------- 21:00 0.08 0.00 0.23 1.54 0.07
 -------- 22:00 0.07 0.00 0.16 1.52 0.02
 31.10.12 23:00 0.07 0.00 0.17 1.52 0.03
 -------- 00:00 0.06 0.00 0.17 1.51 0.02
 -------- 01:00 0.06 0.00 0.17 1.51 0.02
 -------- 02:00 0.06 0.00 0.15 1.49 0.01
 -------- 03:00 0.06 0.00 0.14 1.46 0.01
 01.11.12 04:00 0.06 0.00 0.12 1.46 0.01
 -------- 05:00 0.06 0.00 0.10 1.46 0.01
 -------- 06:00 0.07 0.00 0.15 1.47 0.02
 -------- 07:00 0.08 0.01 0.16 1.48 0.03
 -------- 08:00 0.09 0.00 0.20 1.49 0.03
 01.11.12 09:00 0.09 0.00 0.21 1.49 0.05
 -------- 10:00 0.10 0.01 0.20 1.51 0.05
