 Date Time CO SO2 NO2 CHX NO
 16.11.12 12:00 0.08 0.00 0.13 1.58 0.02
 -------- 13:00 0.06 0.01 0.12 1.54 0.01
 -------- 14:00 0.07 0.01 0.15 1.53 0.01
 -------- 15:00 0.08 0.00 0.18 1.56 0.01
 -------- 16:00 0.07 0.00 0.16 1.57 0.01
 16.11.12 17:00 0.08 0.00 0.14 1.68 0.01
 -------- 18:00 0.08 0.01 0.14 1.74 0.00
 -------- 19:00 0.08 0.01 0.13 1.80 0.00
 -------- 20:00 0.07 0.01 0.12 1.77 0.00
 -------- 21:00 0.08 0.01 0.15 1.71 0.01
 16.11.12 22:00 0.08 0.01 0.13 1.66 0.00
 -------- 23:00 0.08 0.01 0.17 1.62 0.01
 -------- 00:00 0.08 0.00 0.14 1.61 0.01
 -------- 01:00 0.08 0.00 0.16 1.59 0.01
 -------- 02:00 0.07 0.00 0.11 1.58 0.00
 17.11.12 03:00 0.07 0.00 0.11 1.57 0.01
 -------- 04:00 0.06 0.00 0.09 1.59 0.00
 -------- 05:00 0.06 0.00 0.10 1.55 0.00
 -------- 06:00 0.07 0.00 0.15 1.53 0.01
 -------- 07:00 0.08 0.00 0.17 1.53 0.01
 17.11.12 08:00 0.08 0.00 0.16 1.53 0.01
 -------- 09:00 0.09 0.00 0.20 1.52 0.02
 -------- 10:00 0.10 0.00 0.23 1.54 0.04
 -------- 11:00 0.09 0.00 0.16 1.55 0.02
 -------- 12:00 0.08 0.00 0.14 1.55 0.01
 17.11.12 13:00 0.09 0.00 0.14 1.55 0.01
 -------- 14:00 0.10 0.00 0.22 1.55 0.07
 -------- 15:00 0.13 0.00 0.26 1.54 0.06
 -------- 16:00 0.12 0.00 0.24 1.55 0.03
 -------- 17:00 0.12 0.00 0.26 1.55 0.05
 17.11.12 18:00 0.12 0.00 0.27 1.54 0.03
 -------- 19:00 0.13 0.00 0.28 1.54 0.06
 -------- 20:00 0.14 0.00 0.28 1.57 0.07
 -------- 21:00 0.13 0.00 0.24 1.56 0.03
 -------- 22:00 0.11 0.00 0.20 1.55 0.02
 17.11.12 23:00 0.11 0.00 0.20 1.54 0.01
 -------- 00:00 0.11 0.00 0.23 1.54 0.01
 -------- 01:00 0.10 0.00 0.22 1.55 0.01
 -------- 02:00 0.09 0.00 0.14 1.53 0.00
 -------- 03:00 0.08 0.00 0.13 1.52 0.00
 18.11.12 04:00 0.08 0.00 0.16 1.52 0.01
 -------- 05:00 0.08 0.00 0.16 1.53 0.01
 -------- 06:00 0.08 0.00 0.15 1.54 0.01
 -------- 07:00 0.09 0.00 0.18 1.56 0.02
 -------- 08:00 0.08 0.00 0.17 1.54 0.01
 18.11.12 09:00 0.08 0.00 0.14 1.53 0.01
 -------- 10:00 0.09 0.00 0.12 1.51 0.02
