 Date Time CO SO2 NO2 CHX NO
 28.03.13 12:00 0.07 0.01 0.06 1.60 0.02
 -------- 13:00 0.06 0.01 0.04 1.53 0.02
 -------- 14:00 0.05 0.01 0.01 1.45 0.01
 -------- 15:00 0.04 0.00 0.01 1.46 0.01
 -------- 16:00 0.04 0.00 0.01 1.49 0.01
 28.03.13 17:00 0.06 0.00 0.02 1.46 0.01
 -------- 18:00 0.06 0.00 0.04 1.52 0.01
 -------- 19:00 0.06 0.00 0.07 1.60 0.00
 -------- 20:00 0.11 0.01 0.20 1.59 0.02
 -------- 21:00 0.13 0.01 0.39 1.65 0.05
 28.03.13 22:00 0.16 0.01 0.42 1.64 0.07
 -------- 23:00 0.10 0.01 0.35 1.83 0.03
 -------- 00:00 0.09 0.01 0.26 2.23 0.02
 -------- 01:00 0.11 0.01 0.41 2.38 0.10
 -------- 02:00 0.14 0.01 0.44 2.20 0.22
 29.03.13 03:00 0.15 0.01 0.46 2.27 0.29
 -------- 04:00 0.15 0.01 0.44 2.88 0.20
 -------- 05:00 0.17 0.01 0.48 3.01 0.37
 -------- 06:00 0.16 0.01 0.52 2.51 0.31
 -------- 07:00 0.23 0.01 0.61 2.49 0.34
 29.03.13 08:00 0.58 0.01 0.60 3.17 0.63
 -------- 09:00 0.23 0.01 0.41 2.95 0.19
 -------- 10:00 0.15 0.01 0.32 2.40 0.10
 -------- 11:00 0.11 0.01 0.25 1.72 0.07
 -------- 12:00 0.07 0.01 0.05 1.62 0.02
 29.03.13 13:00 0.06 0.00 0.02 1.51 0.01
 -------- 14:00 0.04 0.00 0.01 1.45 0.01
 -------- 15:00 0.05 0.00 0.01 1.51 0.01
 -------- 16:00 0.05 0.01 0.01 1.49 0.01
 -------- 17:00 0.06 0.01 ---- 1.50 0.00
 29.03.13 18:00 0.06 0.01 0.01 1.59 0.00
 -------- 19:00 0.06 0.01 0.02 1.77 0.00
 -------- 20:00 0.11 0.01 0.23 1.99 0.03
 -------- 21:00 0.32 0.01 0.47 3.06 0.36
 -------- 22:00 0.44 0.01 0.56 5.12 0.83
 29.03.13 23:00 0.51 0.01 0.61 5.22 1.04
 -------- 00:00 0.56 0.02 0.63 5.69 1.26
 -------- 01:00 0.65 0.02 0.81 5.37 1.88
 -------- 02:00 0.69 0.01 0.98 4.38 2.19
 -------- 03:00 0.61 0.01 1.00 4.33 2.18
 30.03.13 04:00 0.55 0.01 0.96 4.50 1.99
 -------- 05:00 0.54 0.01 1.01 3.95 2.05
 -------- 06:00 0.51 0.01 0.88 3.26 1.62
 -------- 07:00 0.50 0.01 0.67 2.60 0.80
 -------- 08:00 0.38 0.01 0.57 2.34 0.46
 30.03.13 09:00 0.27 0.00 0.53 1.99 0.32
 -------- 10:00 0.23 0.00 0.52 1.89 0.28
 -------- 11:00 0.13 0.00 0.41 1.74 0.14
