 Date Time CO SO2 NO2 CHX NO
 01.11.12 00:00 0.06 0.00 0.19 1.52 0.02
 -------- 01:00 0.06 0.00 0.17 1.51 0.02
 -------- 02:00 0.06 0.00 0.15 1.49 0.01
 -------- 03:00 0.06 0.00 0.14 1.46 0.01
 -------- 04:00 0.06 0.00 0.12 1.46 0.01
 01.11.12 05:00 0.06 0.00 0.10 1.46 0.01
 -------- 06:00 0.07 0.00 0.15 1.47 0.02
 -------- 07:00 0.08 0.01 0.16 1.48 0.03
 -------- 08:00 0.09 0.00 0.20 1.49 0.03
 -------- 09:00 0.09 0.00 0.21 1.49 0.05
 01.11.12 10:00 0.10 0.01 0.20 1.51 0.05
 -------- 11:00 0.10 0.01 0.20 1.52 0.06
 -------- 12:00 0.11 0.00 0.21 1.53 0.06
 -------- 13:00 0.10 0.00 0.22 1.53 0.06
 -------- 14:00 0.10 0.00 0.23 1.54 0.05
 01.11.12 15:00 0.10 0.00 0.23 1.54 0.05
 -------- 16:00 0.10 0.00 0.22 1.52 0.04
 -------- 17:00 0.11 0.00 0.22 1.52 0.04
 -------- 18:00 0.12 0.01 0.24 1.54 0.04
 -------- 19:00 0.13 0.00 0.23 1.55 0.06
 01.11.12 20:00 0.12 0.01 0.24 1.55 0.05
 -------- 21:00 0.12 0.01 0.23 1.57 0.04
 -------- 22:00 0.11 0.01 0.22 1.59 0.03
 -------- 23:00 0.10 0.00 0.20 1.61 0.02
 -------- 00:00 0.11 0.00 0.22 1.61 0.02
 02.11.12 01:00 0.10 0.00 0.20 1.61 0.01
 -------- 02:00 0.09 0.00 0.15 1.59 0.00
 -------- 03:00 0.10 0.00 0.15 1.57 0.00
 -------- 04:00 0.09 0.00 0.18 1.56 0.01
 -------- 05:00 0.10 0.00 0.21 1.56 0.03
 02.11.12 06:00 0.12 0.00 0.25 1.58 0.08
 -------- 07:00 0.15 0.00 0.29 1.62 0.14
 -------- 08:00 0.17 0.00 0.28 1.63 0.13
 -------- 09:00 0.18 0.00 0.28 1.66 0.16
 -------- 10:00 0.18 0.00 0.28 1.67 0.15
 02.11.12 11:00 0.18 0.00 0.29 1.66 0.14
 -------- 12:00 0.19 0.01 0.28 1.66 0.15
 -------- 13:00 0.19 0.00 0.28 1.66 0.13
 -------- 14:00 0.18 0.01 0.30 1.65 0.12
 -------- 15:00 0.18 0.01 0.30 1.65 0.10
 02.11.12 16:00 0.17 0.00 0.30 1.64 0.10
 -------- 17:00 0.16 0.00 0.29 1.62 0.08
 -------- 18:00 0.15 0.00 0.30 1.61 0.09
 -------- 19:00 0.16 0.00 0.29 1.62 0.08
 -------- 20:00 0.16 0.00 0.28 1.62 0.07
 02.11.12 21:00 0.14 0.00 0.27 1.61 0.05
 -------- 22:00 0.13 0.00 0.27 1.61 0.04
