 Date Time CO SO2 NO2 CHX NO
 29.11.12 12:00 0.08 0.00 0.15 1.51 0.03
 -------- 13:00 0.08 0.00 0.16 1.50 0.02
 -------- 14:00 0.08 0.00 0.18 1.49 0.03
 -------- 15:00 0.08 0.01 0.19 1.50 0.03
 -------- 16:00 0.08 0.00 0.19 1.49 0.02
 29.11.12 17:00 0.08 0.00 0.20 1.48 0.02
 -------- 18:00 0.08 0.01 0.18 1.47 0.03
 -------- 19:00 0.08 0.00 0.17 1.48 0.02
 -------- 20:00 0.09 0.00 0.17 1.49 0.02
 -------- 21:00 0.09 0.00 0.17 1.48 0.02
 29.11.12 22:00 0.08 0.00 0.17 1.49 0.03
 -------- 23:00 0.07 0.01 0.15 1.48 0.02
 -------- 00:00 0.06 0.00 0.15 1.47 0.02
 -------- 01:00 0.06 0.02 0.13 1.46 0.01
 -------- 02:00 0.06 0.01 0.12 1.46 0.01
 30.11.12 03:00 0.06 0.00 0.12 1.46 0.01
 -------- 04:00 0.06 0.00 0.11 1.45 0.01
 -------- 05:00 0.07 0.00 0.13 1.47 0.01
 -------- 06:00 0.15 0.01 0.15 1.51 0.02
 -------- 07:00 0.09 0.00 0.15 1.51 0.02
 30.11.12 08:00 0.09 0.01 0.15 1.52 0.03
 -------- 09:00 0.09 0.01 0.18 1.54 0.04
 -------- 10:00 0.09 0.01 0.16 1.53 0.04
 -------- 11:00 0.09 0.01 0.16 1.55 0.06
 -------- 12:00 0.09 0.01 0.15 1.58 0.06
 30.11.12 13:00 0.09 0.01 0.16 1.61 0.06
 -------- 14:00 0.10 0.01 0.16 1.61 0.06
 -------- 15:00 0.10 0.00 0.17 1.61 0.09
 -------- 16:00 0.11 0.00 0.16 1.65 0.09
 -------- 17:00 0.11 0.01 0.17 1.67 0.10
 30.11.12 18:00 0.13 0.01 0.17 1.70 0.13
 -------- 19:00 0.23 0.01 0.18 1.86 0.27
 -------- 20:00 0.28 0.01 0.19 1.91 0.35
 -------- 21:00 0.13 0.00 0.19 1.63 0.13
 -------- 22:00 0.11 0.00 0.18 1.60 0.10
 30.11.12 23:00 0.09 0.00 0.20 1.53 0.05
 -------- 00:00 0.07 0.00 0.20 1.48 0.02
 -------- 01:00 0.07 0.00 0.19 1.47 0.01
 -------- 02:00 0.06 0.00 0.21 1.52 0.01
 -------- 03:00 0.06 0.00 0.23 1.55 0.01
 01.12.12 04:00 0.06 0.00 0.19 1.49 0.01
 -------- 05:00 0.06 0.00 0.16 1.44 0.01
 -------- 06:00 0.07 0.00 0.13 1.44 0.01
 -------- 07:00 0.09 0.00 0.16 1.46 0.02
 -------- 08:00 0.10 0.00 0.17 1.48 0.05
 01.12.12 09:00 0.10 0.00 0.15 1.48 0.05
 -------- 10:00 0.11 0.00 0.15 1.49 0.07
