 Date Time CO SO2 NO2 CHX NO
 13.02.13 00:00 0.08 0.01 0.22 1.51 0.01
 -------- 01:00 0.08 0.01 0.22 1.51 0.01
 -------- 02:00 0.09 0.01 0.21 1.55 0.01
 -------- 03:00 0.10 0.01 0.19 1.50 0.00
 -------- 04:00 0.10 0.01 0.20 1.51 0.00
 13.02.13 05:00 0.10 0.01 0.22 1.54 0.01
 -------- 06:00 0.12 0.01 0.26 1.56 0.02
 -------- 07:00 0.15 0.01 0.32 1.65 0.06
 -------- 08:00 0.19 0.01 0.34 1.76 0.17
 -------- 09:00 0.19 0.01 0.34 1.78 0.13
 13.02.13 10:00 0.19 0.01 0.35 1.80 0.16
 -------- 11:00 0.19 0.01 0.36 1.83 0.14
 -------- 12:00 0.15 0.01 0.35 1.77 0.11
 -------- 13:00 0.13 0.01 0.34 1.69 0.09
 -------- 14:00 0.11 0.01 0.30 1.54 0.07
 13.02.13 15:00 0.11 0.01 0.34 1.60 0.07
 -------- 16:00 0.09 0.01 0.27 1.56 0.03
 -------- 17:00 0.10 0.01 0.27 1.56 0.02
 -------- 18:00 0.11 0.01 0.28 1.53 0.02
 -------- 19:00 0.10 0.01 0.32 1.58 0.02
 13.02.13 20:00 0.10 0.01 0.34 1.57 0.03
 -------- 21:00 0.09 0.01 0.29 1.60 0.02
 -------- 22:00 0.10 0.01 0.34 1.70 0.03
 -------- 23:00 0.14 0.01 0.41 1.70 0.07
 -------- 00:00 0.13 0.01 0.43 1.79 0.09
 14.02.13 01:00 0.11 0.01 0.40 1.63 0.04
 -------- 02:00 0.10 0.01 0.39 1.62 0.02
 -------- 03:00 0.10 0.01 0.37 1.67 0.02
 -------- 04:00 0.08 0.01 0.32 1.61 0.01
 -------- 05:00 0.08 0.01 0.29 1.61 0.01
 14.02.13 06:00 0.09 0.01 0.32 1.61 0.02
 -------- 07:00 0.11 0.01 0.31 1.58 0.03
 -------- 08:00 0.12 0.01 0.33 1.71 0.05
 -------- 09:00 0.12 0.01 0.31 1.71 0.04
 -------- 10:00 0.11 0.01 0.30 1.69 0.06
 14.02.13 11:00 0.13 0.01 0.29 1.61 0.06
 -------- 12:00 0.11 0.01 0.28 1.57 0.07
 -------- 13:00 0.10 0.01 0.28 1.59 0.06
 -------- 14:00 0.11 0.01 0.29 1.85 0.07
 -------- 15:00 0.10 0.00 0.24 1.66 0.04
 14.02.13 16:00 0.09 0.00 0.26 1.55 0.03
 -------- 17:00 0.10 0.01 0.31 1.55 0.03
 -------- 18:00 0.14 0.01 0.42 1.63 0.09
 -------- 19:00 0.18 0.01 0.48 1.73 0.14
 -------- 20:00 0.20 0.01 0.47 1.74 0.19
 14.02.13 21:00 0.17 0.01 0.41 1.72 0.13
 -------- 22:00 0.13 0.01 0.39 1.64 0.03
 -------- 23:00 0.13 0.01 0.41 1.68 0.04
