 Date Time CO SO2 NO2 CHX NO
 24.11.12 12:00 0.12 0.00 0.22 1.60 0.09
 -------- 13:00 0.12 0.00 0.22 1.59 0.09
 -------- 14:00 0.13 0.01 0.25 1.60 0.12
 -------- 15:00 0.15 0.00 0.25 1.63 0.12
 -------- 16:00 0.14 0.00 0.26 1.62 0.11
 24.11.12 17:00 0.16 0.00 0.27 1.63 0.14
 -------- 18:00 0.17 0.01 0.27 1.65 0.19
 -------- 19:00 0.18 0.01 0.29 1.68 0.21
 -------- 20:00 0.21 0.01 0.31 1.72 0.27
 -------- 21:00 0.22 0.01 0.31 1.77 0.30
 24.11.12 22:00 0.21 0.00 0.32 1.79 0.31
 -------- 23:00 0.21 0.00 0.31 1.79 0.29
 -------- 00:00 0.18 0.01 0.30 1.79 0.26
 -------- 01:00 0.16 0.01 0.27 1.76 0.18
 -------- 02:00 0.15 0.00 0.26 1.71 0.15
 25.11.12 03:00 0.13 0.00 0.26 1.68 0.13
 -------- 04:00 0.12 0.00 0.26 1.66 0.10
 -------- 05:00 0.11 0.00 0.25 1.65 0.10
 -------- 06:00 0.11 0.01 0.25 1.64 0.09
 -------- 07:00 0.12 0.01 0.25 1.65 0.10
 25.11.12 08:00 0.13 0.01 0.26 1.65 0.13
 -------- 09:00 0.14 0.01 0.27 1.66 0.14
 -------- 10:00 0.15 0.01 0.26 1.66 0.16
 -------- 11:00 0.15 0.01 0.26 1.67 0.17
 -------- 12:00 0.14 0.01 0.27 1.67 0.18
 25.11.12 13:00 0.15 0.01 0.27 1.69 0.19
 -------- 14:00 0.15 0.02 0.29 1.71 0.22
 -------- 15:00 0.17 0.02 0.29 1.73 0.21
 -------- 16:00 0.16 0.02 0.30 1.73 0.23
 -------- 17:00 0.17 0.01 0.30 1.72 0.22
 25.11.12 18:00 0.16 0.01 0.30 1.72 0.22
 -------- 19:00 0.15 0.01 0.29 1.72 0.19
 -------- 20:00 0.13 0.01 0.27 1.69 0.15
 -------- 21:00 0.13 0.01 0.26 1.67 0.13
 -------- 22:00 0.14 0.01 0.27 1.69 0.13
 25.11.12 23:00 0.13 0.01 0.26 1.67 0.10
 -------- 00:00 0.12 0.01 0.24 1.65 0.06
 -------- 01:00 0.10 0.00 0.23 1.62 0.03
 -------- 02:00 0.10 0.00 0.23 1.59 0.02
 -------- 03:00 0.09 0.01 0.21 1.58 0.02
 26.11.12 04:00 0.08 0.02 0.20 1.57 0.02
 -------- 05:00 0.09 0.01 0.20 1.57 0.04
 -------- 06:00 0.11 0.01 0.21 1.58 0.10
 -------- 07:00 0.16 0.01 0.21 1.62 0.11
 -------- 08:00 0.16 0.01 0.20 1.64 0.12
 26.11.12 09:00 0.17 0.00 0.21 1.65 0.15
 -------- 10:00 0.18 0.01 0.21 1.66 0.18
